"","trial","lum1","lum2","c1","c2","im","thisN","thisTrialN","thisRepN","resp.keys","resp.rt","resp.duration","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","thisRow.t","notes","instruct.started","ready.started","instrText.started","instruct.stopped","trial.started","resp.started","image.started","trial.stopped","trials.resp.keys","trials.resp.rt","trials.resp.duration","thanks.started","thanksText.started","thanks.stopped","session","participant","date","expName","expVersion","psychopyVersion","frameRate","expStart","X"
"1",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,0.00673317909240723,0.0130553245544434,0.0130553245544434,0.798285722732544,NA,NA,NA,NA,"",NA,"",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"2",0,0.42,0.5,1,1,"imgs/white_0.42_0.5_1.0_1.0.png",0,0,0,"right",1.07456517219543,"None",0,0,0,0,0.831866264343262,NA,NA,NA,NA,NA,0.824259519577026,1.31227397918701,1.31227397918701,2.39649343490601,"right",1.07456517219543,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"3",1,0.25,0.58,0,1,"imgs/white_0.25_0.58_0.0_1.0.png",1,1,0,"right",0.828112125396729,"None",0,1,1,1,2.41530752182007,NA,NA,NA,NA,NA,2.40949010848999,2.91072964668274,2.91072964668274,3.74673080444336,"right",0.828112125396729,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"4",2,0.33,0.67,0,0,"imgs/white_0.33_0.67_0.0_0.0.png",2,2,0,"right",0.588990449905396,"None",0,2,2,2,3.76094889640808,NA,NA,NA,NA,NA,3.75412631034851,4.26168274879456,4.26168274879456,4.86717224121094,"right",0.588990449905396,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"5",3,0.58,0.33,1,1,"imgs/white_0.58_0.33_1.0_1.0.png",3,3,0,"left",0.727148294448853,"None",0,3,3,3,4.88041639328003,NA,NA,NA,NA,NA,4.87308764457703,5.37967658042908,5.37967658042908,6.11845803260803,"left",0.727148294448853,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"6",4,0.25,0.75,0,1,"imgs/white_0.25_0.75_0.0_1.0.png",4,4,0,"right",0.660500764846802,"None",0,4,4,4,6.13658571243286,NA,NA,NA,NA,NA,6.13306903839111,6.63064074516296,6.63064074516296,7.30258584022522,"right",0.660500764846802,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"7",5,0.67,0.42,1,1,"imgs/white_0.67_0.42_1.0_1.0.png",5,5,0,"left",0.676056623458862,"None",0,5,5,5,7.31586241722107,NA,NA,NA,NA,NA,7.30986833572388,7.81490135192871,7.81490135192871,8.503582239151,"left",0.676056623458862,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"8",6,0.5,0.33,0,0,"imgs/white_0.5_0.33_0.0_0.0.png",6,6,0,"left",0.723495006561279,"None",0,6,6,6,8.51842665672302,NA,NA,NA,NA,NA,8.51313138008118,9.01547527313232,9.01547527313232,9.7520124912262,"left",0.723495006561279,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"9",7,0.42,0.33,0,0,"imgs/white_0.42_0.33_0.0_0.0.png",7,7,0,"left",1.51961851119995,"None",0,7,7,7,9.76785564422607,NA,NA,NA,NA,NA,9.76222896575928,10.2667062282562,10.2667062282562,11.8037028312683,"left",1.51961851119995,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"10",8,0.25,0.58,0,0,"imgs/white_0.25_0.58_0.0_0.0.png",8,8,0,"right",0.572264909744263,"None",0,8,8,8,11.8197154998779,NA,NA,NA,NA,NA,11.8101584911346,12.3185894489288,12.3185894489288,12.9050540924072,"right",0.572264909744263,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"11",9,0.5,0.33,1,0,"imgs/white_0.5_0.33_1.0_0.0.png",9,9,0,"left",1.3674099445343,"None",0,9,9,9,12.9211173057556,NA,NA,NA,NA,NA,12.9154424667358,13.4196298122406,13.4196298122406,14.7904317378998,"left",1.3674099445343,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"12",10,0.58,0.58,1,0,"imgs/white_0.58_0.58_1.0_0.0.png",10,10,0,"right",0.778708457946777,"None",0,10,10,10,14.8058204650879,NA,NA,NA,NA,NA,14.8001625537872,15.3042895793915,15.3042895793915,16.0908255577087,"right",0.778708457946777,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"13",11,0.33,0.75,1,1,"imgs/white_0.33_0.75_1.0_1.0.png",11,11,0,"right",0.821296453475952,"None",0,11,11,11,16.1067056655884,NA,NA,NA,NA,NA,16.1006174087524,16.6055216789246,16.6055216789246,17.4428913593292,"right",0.821296453475952,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"14",12,0.58,0.75,1,1,"imgs/white_0.58_0.75_1.0_1.0.png",12,12,0,"right",0.678787469863892,"None",0,12,12,12,17.4573655128479,NA,NA,NA,NA,NA,17.4459190368652,17.9564709663391,17.9564709663391,18.6431901454926,"right",0.678787469863892,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"15",13,0.42,0.5,1,0,"imgs/white_0.42_0.5_1.0_0.0.png",13,13,0,"right",0.573376655578613,"None",0,13,13,13,18.6589064598083,NA,NA,NA,NA,NA,18.6499361991882,19.1576263904572,19.1576263904572,19.7439363002777,"right",0.573376655578613,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"16",14,0.58,0.25,1,1,"imgs/white_0.58_0.25_1.0_1.0.png",14,14,0,"left",0.776473522186279,"None",0,14,14,14,19.7577137947083,NA,NA,NA,NA,NA,19.7512919902802,20.2586100101471,20.2586100101471,21.0460333824158,"left",0.776473522186279,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"17",15,0.33,0.67,1,1,"imgs/white_0.33_0.67_1.0_1.0.png",15,15,0,"right",0.690330028533936,"None",0,15,15,15,21.0605473518372,NA,NA,NA,NA,NA,21.0552461147308,21.5599160194397,21.5599160194397,22.2622156143188,"right",0.690330028533936,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"18",16,0.25,0.25,1,0,"imgs/white_0.25_0.25_1.0_0.0.png",16,16,0,"right",3.32210755348206,"None",0,16,16,16,22.2784247398376,NA,NA,NA,NA,NA,22.2664442062378,22.7773284912109,22.7773284912109,26.1188833713531,"right",3.32210755348206,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"19",17,0.33,0.42,1,1,"imgs/white_0.33_0.42_1.0_1.0.png",17,17,0,"right",0.84399938583374,"None",0,17,17,17,26.1333327293396,NA,NA,NA,NA,NA,26.1277940273285,26.630767583847,26.630767583847,27.4862713813782,"right",0.84399938583374,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"20",18,0.75,0.67,1,1,"imgs/white_0.75_0.67_1.0_1.0.png",18,18,0,"left",0.83689546585083,"None",0,18,18,18,27.4995424747467,NA,NA,NA,NA,NA,27.4929208755493,27.998428106308,27.998428106308,28.8521323204041,"left",0.83689546585083,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"21",19,0.25,0.67,0,0,"imgs/white_0.25_0.67_0.0_0.0.png",19,19,0,"right",0.661046743392944,"None",0,19,19,19,28.8672642707825,NA,NA,NA,NA,NA,28.8617663383484,29.3660843372345,29.3660843372345,30.0383839607239,"right",0.661046743392944,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"22",20,0.42,0.42,1,0,"imgs/white_0.42_0.42_1.0_0.0.png",20,20,0,"right",0.981182813644409,"None",0,20,20,20,30.0523867607117,NA,NA,NA,NA,NA,30.0468773841858,30.550491809845,30.550491809845,31.5389816761017,"right",0.981182813644409,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"23",21,0.5,0.75,1,0,"imgs/white_0.5_0.75_1.0_0.0.png",21,21,0,"right",0.519770622253418,"None",0,21,21,21,31.553334236145,NA,NA,NA,NA,NA,31.5462574958801,32.0515930652618,32.0515930652618,32.5892317295074,"right",0.519770622253418,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"24",22,0.33,0.58,0,0,"imgs/white_0.33_0.58_0.0_0.0.png",22,22,0,"right",0.732558250427246,"None",0,22,22,22,32.6051757335663,NA,NA,NA,NA,NA,32.5993556976318,33.1026434898376,33.1026434898376,33.8395540714264,"right",0.732558250427246,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"25",23,0.25,0.67,1,1,"imgs/white_0.25_0.67_1.0_1.0.png",23,23,0,"right",0.793597221374512,"None",0,23,23,23,33.8529186248779,NA,NA,NA,NA,NA,33.8491451740265,34.3539004325867,34.3539004325867,35.1579060554504,"right",0.793597221374512,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"26",24,0.67,0.67,1,0,"imgs/white_0.67_0.67_1.0_0.0.png",24,24,0,"right",1.03590512275696,"None",0,24,24,24,35.1727454662323,NA,NA,NA,NA,NA,35.1669964790344,35.6715905666351,35.6715905666351,36.7252380847931,"right",1.03590512275696,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"27",25,0.33,0.25,1,0,"imgs/white_0.33_0.25_1.0_0.0.png",25,25,0,"left",1.73978543281555,"None",0,25,25,25,36.7404844760895,NA,NA,NA,NA,NA,36.7351484298706,37.2396275997162,37.2396275997162,38.9945840835571,"left",1.73978543281555,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"28",26,0.75,0.25,0,0,"imgs/white_0.75_0.25_0.0_0.0.png",26,26,0,"left",0.535148620605469,"None",0,26,26,26,39.0128395557404,NA,NA,NA,NA,NA,39.0068998336792,39.5080494880676,39.5080494880676,40.0612819194794,"left",0.535148620605469,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"29",27,0.5,0.58,1,1,"imgs/white_0.5_0.58_1.0_1.0.png",27,27,0,"left",0.923748016357422,"None",0,27,27,27,40.0769226551056,NA,NA,NA,NA,NA,40.0684180259705,40.5757255554199,40.5757255554199,41.5129883289337,"left",0.923748016357422,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"30",28,0.33,0.33,0,1,"imgs/white_0.33_0.33_0.0_1.0.png",28,28,0,"left",0.880284309387207,"None",0,28,28,28,41.5280745029449,NA,NA,NA,NA,NA,41.5218923091888,42.0272824764252,42.0272824764252,42.9145238399506,"left",0.880284309387207,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"31",29,0.58,0.42,1,0,"imgs/white_0.58_0.42_1.0_0.0.png",29,29,0,"left",0.735469341278076,"None",0,29,29,29,42.9273242950439,NA,NA,NA,NA,NA,42.9214329719543,43.4279959201813,43.4279959201813,44.1822247505188,"left",0.735469341278076,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"32",30,0.5,0.5,1,0,"imgs/white_0.5_0.5_1.0_0.0.png",30,30,0,"right",0.619683980941772,"None",0,30,30,30,44.1972868442535,NA,NA,NA,NA,NA,44.1921133995056,44.6957695484161,44.6957695484161,45.3325295448303,"right",0.619683980941772,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"33",31,0.67,0.25,0,1,"imgs/white_0.67_0.25_0.0_1.0.png",31,31,0,"left",0.6044020652771,"None",0,31,31,31,45.3478889465332,NA,NA,NA,NA,NA,45.3426749706268,45.8469200134277,45.8469200134277,46.4668638706207,"left",0.6044020652771,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"34",32,0.33,0.25,1,1,"imgs/white_0.33_0.25_1.0_1.0.png",32,32,0,"left",1.28620719909668,"None",0,32,32,32,46.4822494983673,NA,NA,NA,NA,NA,46.4755232334137,46.9812684059143,46.9812684059143,48.2850930690765,"left",1.28620719909668,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"35",33,0.58,0.42,0,0,"imgs/white_0.58_0.42_0.0_0.0.png",33,33,0,"left",0.788334846496582,"None",0,33,33,33,48.3006403446198,NA,NA,NA,NA,NA,48.295206785202,48.7993857860565,48.7993857860565,49.6043956279755,"left",0.788334846496582,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"36",34,0.25,0.58,1,0,"imgs/white_0.25_0.58_1.0_0.0.png",34,34,0,"right",0.614528894424438,"None",0,34,34,34,49.6192357540131,NA,NA,NA,NA,NA,49.6137895584106,50.1171307563782,50.1171307563782,50.7395129203796,"right",0.614528894424438,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"37",35,0.25,0.33,1,0,"imgs/white_0.25_0.33_1.0_0.0.png",35,35,0,"right",0.616174459457397,"None",0,35,35,35,50.7537093162537,NA,NA,NA,NA,NA,50.7482812404633,51.2513346672058,51.2513346672058,51.8712823390961,"right",0.616174459457397,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"38",36,0.58,0.67,0,1,"imgs/white_0.58_0.67_0.0_1.0.png",36,36,0,"right",4.19339394569397,"None",0,36,36,36,51.8857088088989,NA,NA,NA,NA,NA,51.8791244029999,52.3855030536652,52.3855030536652,56.5915465354919,"right",4.19339394569397,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
"39",37,0.75,0.58,0,0,"imgs/white_0.75_0.58_0.0_0.0.png",37,37,0,"left",1.12122678756714,"None",0,37,37,37,56.6076064109802,NA,NA,NA,NA,NA,56.5955879688263,57.1063868999481,57.1063868999481,58.2430667877197,"left",1.12122678756714,"None",NA,NA,NA,1,"GA1","2025-08-20_14h51.53.824","mlcm_experiment_whites_illusion",NA,"2025.1.1",59.9772348981004,"2025-08-20 14h51.58.443192 +0200",NA
