trial,lum1,lum2,c1,c2,im,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruct.started,ready.started,instrText.started,instruct.stopped,trial.started,resp.started,image.started,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,thanks.started,thanksText.started,thanks.stopped,session,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0077571868896484375,0.011538267135620117,0.011538267135620117,1.075141429901123,,,,,,,,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
0,0.75,0.58,1.0,0.0,imgs/white_0.75_0.58_1.0_0.0.png,0,0,0,right,0.8203284740447998,None,0,0,0,0,1.102285385131836,,,,,,1.0956487655639648,1.5845322608947754,1.5845322608947754,2.421384334564209,right,0.8203284740447998,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
1,0.5,0.5,1.0,0.0,imgs/white_0.5_0.5_1.0_0.0.png,1,1,0,right,0.5729665756225586,None,0,1,1,1,2.4377195835113525,,,,,,2.4322524070739746,2.9356606006622314,2.9356606006622314,3.5232691764831543,right,0.5729665756225586,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
2,0.42,0.67,1.0,0.0,imgs/white_0.42_0.67_1.0_0.0.png,2,2,0,right,0.552452564239502,None,0,2,2,2,3.538013219833374,,,,,,3.5308163166046143,4.036443471908569,4.036443471908569,4.6065850257873535,right,0.552452564239502,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
3,0.42,0.67,0.0,1.0,imgs/white_0.42_0.67_0.0_1.0.png,3,3,0,right,0.9878766536712646,None,0,3,3,3,4.622051239013672,,,,,,4.614543199539185,5.120783567428589,5.120783567428589,6.125258922576904,right,0.9878766536712646,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
4,0.42,0.75,0.0,1.0,imgs/white_0.42_0.75_0.0_1.0.png,4,4,0,right,0.5660109519958496,None,0,4,4,4,6.139977693557739,,,,,,6.132357835769653,6.638786554336548,6.638786554336548,7.208569526672363,right,0.5660109519958496,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
5,0.33,0.67,0.0,1.0,imgs/white_0.33_0.67_0.0_1.0.png,5,5,0,right,0.6576006412506104,None,0,5,5,5,7.222209215164185,,,,,,7.21614408493042,7.723034858703613,7.723034858703613,8.394206047058105,right,0.6576006412506104,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
6,0.75,0.75,1.0,0.0,imgs/white_0.75_0.75_1.0_0.0.png,6,6,0,right,1.5134258270263672,None,0,6,6,6,8.41335391998291,,,,,,8.408529281616211,8.907352685928345,8.907352685928345,10.428118467330933,right,1.5134258270263672,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
7,0.42,0.67,1.0,0.0,imgs/white_0.42_0.67_1.0_0.0.png,7,7,0,right,0.5502984523773193,None,0,7,7,7,10.443615198135376,,,,,,10.437799453735352,10.942293643951416,10.942293643951416,11.495517492294312,right,0.5502984523773193,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
8,0.75,0.33,1.0,0.0,imgs/white_0.75_0.33_1.0_0.0.png,8,8,0,left,0.7136917114257812,None,0,8,8,8,11.511359691619873,,,,,,11.502928256988525,12.011174201965332,12.011174201965332,12.729968786239624,left,0.7136917114257812,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
9,0.33,0.33,1.0,0.0,imgs/white_0.33_0.33_1.0_0.0.png,9,9,0,right,0.9765267372131348,None,0,9,9,9,12.743380784988403,,,,,,12.739574432373047,13.244303703308105,13.244303703308105,14.231590747833252,right,0.9765267372131348,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
10,0.75,0.58,0.0,1.0,imgs/white_0.75_0.58_0.0_1.0.png,10,10,0,left,0.7400205135345459,None,0,10,10,10,14.248041868209839,,,,,,14.242974519729614,14.744895696640015,14.744895696640015,15.499205589294434,left,0.7400205135345459,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
11,0.42,0.75,1.0,0.0,imgs/white_0.42_0.75_1.0_0.0.png,11,11,0,right,0.6954689025878906,None,0,11,11,11,15.512535095214844,,,,,,15.506234407424927,16.01340913772583,16.01340913772583,16.717101097106934,right,0.6954689025878906,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
12,0.25,0.5,0.0,1.0,imgs/white_0.25_0.5_0.0_1.0.png,12,12,0,right,1.0216562747955322,None,0,12,12,12,16.730286598205566,,,,,,16.723836421966553,17.231165647506714,17.231165647506714,18.26820158958435,right,1.0216562747955322,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
13,0.75,0.75,1.0,0.0,imgs/white_0.75_0.75_1.0_0.0.png,13,13,0,right,1.0463519096374512,None,0,13,13,13,18.283496856689453,,,,,,18.27797770500183,18.782458782196045,18.782458782196045,19.838011741638184,right,1.0463519096374512,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
14,0.75,0.67,1.0,0.0,imgs/white_0.75_0.67_1.0_0.0.png,14,14,0,right,1.390472412109375,None,0,14,14,14,19.85163950920105,,,,,,19.843759536743164,20.35048818588257,20.35048818588257,21.754247903823853,right,1.390472412109375,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
15,0.25,0.33,1.0,0.0,imgs/white_0.25_0.33_1.0_0.0.png,15,15,0,right,0.8491268157958984,None,0,15,15,15,21.76979684829712,,,,,,21.76364517211914,22.26792573928833,22.26792573928833,23.122408390045166,right,0.8491268157958984,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
16,0.42,0.5,1.0,0.0,imgs/white_0.42_0.5_1.0_0.0.png,16,16,0,right,0.6490867137908936,None,0,16,16,16,23.13560962677002,,,,,,23.131280422210693,23.63656783103943,23.63656783103943,24.289116859436035,right,0.6490867137908936,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
17,0.25,0.58,1.0,0.0,imgs/white_0.25_0.58_1.0_0.0.png,17,17,0,right,0.505094051361084,None,0,17,17,17,24.305501699447632,,,,,,24.299259662628174,24.804041385650635,24.804041385650635,25.323756217956543,right,0.505094051361084,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
18,0.33,0.58,0.0,1.0,imgs/white_0.33_0.58_0.0_1.0.png,18,18,0,right,1.4947926998138428,None,0,18,18,18,25.339536666870117,,,,,,25.331926107406616,25.838181972503662,25.838181972503662,27.34237504005432,right,1.4947926998138428,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
19,0.25,0.58,1.0,0.0,imgs/white_0.25_0.58_1.0_0.0.png,19,19,0,right,0.5403692722320557,None,0,19,19,19,27.35950207710266,,,,,,27.353889226913452,27.85664176940918,27.85664176940918,28.41029453277588,right,0.5403692722320557,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
20,0.42,0.25,1.0,0.0,imgs/white_0.42_0.25_1.0_0.0.png,20,20,0,left,0.920689582824707,None,0,20,20,20,28.42562747001648,,,,,,28.418242931365967,28.924463033676147,28.924463033676147,29.8613440990448,left,0.920689582824707,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
21,0.58,0.58,1.0,0.0,imgs/white_0.58_0.58_1.0_0.0.png,21,21,0,right,0.7176735401153564,None,0,21,21,21,29.874497890472412,,,,,,29.86867356300354,30.37533664703369,30.37533664703369,31.112278699874878,right,0.7176735401153564,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
22,0.5,0.25,0.0,1.0,imgs/white_0.5_0.25_0.0_1.0.png,22,22,0,left,0.618366003036499,None,0,22,22,22,31.12582302093506,,,,,,31.119415760040283,31.62680673599243,31.62680673599243,32.263001680374146,left,0.618366003036499,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
23,0.25,0.58,0.0,1.0,imgs/white_0.25_0.58_0.0_1.0.png,23,23,0,right,1.107839822769165,None,0,23,23,23,32.278599977493286,,,,,,32.272770404815674,32.777432918548584,32.777432918548584,33.897709131240845,right,1.107839822769165,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
24,0.42,0.33,0.0,1.0,imgs/white_0.42_0.33_0.0_1.0.png,24,24,0,left,1.0017163753509521,None,0,24,24,24,33.91122078895569,,,,,,33.90485119819641,34.41236972808838,34.41236972808838,35.43223190307617,left,1.0017163753509521,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
25,0.5,0.5,1.0,0.0,imgs/white_0.5_0.5_1.0_0.0.png,25,25,0,right,0.8831729888916016,None,0,25,25,25,35.44816255569458,,,,,,35.44274187088013,35.94676065444946,35.94676065444946,36.833279848098755,right,0.8831729888916016,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
26,0.67,0.58,0.0,1.0,imgs/white_0.67_0.58_0.0_1.0.png,26,26,0,left,1.0329270362854004,None,0,26,26,26,36.847283124923706,,,,,,36.84070181846619,37.34825921058655,37.34825921058655,38.38533306121826,left,1.0329270362854004,None,,,,1,GA5,2025-08-20_15h39.14.305,mlcm_experiment_whites_illusion,,2025.1.1,59.96145818441744,2025-08-20 15h39.21.149565 +0200,
