instruct.started,instruct.stopped,session,participant,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trial,s1,s2,s3,im1,im2,im3,thanks.started,thanks.stopped
0,10.851,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,10.86,15.916,right,4.527,,0,0,0,0,1,0,60,20,5,s_60_r_2.png,s_20_r_7.png,s_5_r_6.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,15.919,20.667,left,4.205,,0,1,1,1,1,1,50,33,10,s_50_r_2.png,s_33_r_8.png,s_10_r_3.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,20.669,22.984,right,1.776,,0,2,2,2,1,2,60,10,5,s_60_r_5.png,s_10_r_8.png,s_5_r_2.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,22.986,25.284,right,1.758,,0,3,3,3,1,3,10,33,60,s_10_r_3.png,s_33_r_8.png,s_60_r_9.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,25.286,28.967,right,3.141,,0,4,4,4,1,4,5,33,60,s_5_r_2.png,s_33_r_4.png,s_60_r_10.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,28.969,31.366,left,1.858,,0,5,5,5,1,5,10,15,33,s_10_r_10.png,s_15_r_7.png,s_33_r_8.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,31.368,35.752,left,3.867,,0,6,6,6,1,6,20,15,5,s_20_r_7.png,s_15_r_8.png,s_5_r_7.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,35.756,37.283,right,0.991,,0,7,7,7,1,7,5,33,50,s_5_r_4.png,s_33_r_2.png,s_50_r_1.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,37.286,39.367,left,1.539,,0,8,8,8,1,8,33,25,5,s_33_r_1.png,s_25_r_9.png,s_5_r_9.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,39.369,41.817,left,1.905,,0,9,9,9,1,9,15,20,40,s_15_r_10.png,s_20_r_4.png,s_40_r_5.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,41.819,43.967,right,1.611,,0,10,10,10,1,10,40,20,10,s_40_r_3.png,s_20_r_10.png,s_10_r_10.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,43.968,47.251,left,2.744,,0,11,11,11,1,11,50,25,5,s_50_r_5.png,s_25_r_10.png,s_5_r_3.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,47.252,52.001,right,4.208,,0,12,12,12,1,12,20,33,40,s_20_r_9.png,s_33_r_3.png,s_40_r_5.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,52.003,54.066,right,1.529,,0,13,13,13,1,13,10,33,40,s_10_r_3.png,s_33_r_3.png,s_40_r_6.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,54.068,56.634,right,2.033,,0,14,14,14,1,14,60,40,25,s_60_r_6.png,s_40_r_4.png,s_25_r_5.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,56.635,59.884,left,2.717,,0,15,15,15,1,15,5,10,15,s_5_r_7.png,s_10_r_3.png,s_15_r_10.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,59.885,64.5,left,4.075,,0,16,16,16,1,16,25,40,50,s_25_r_9.png,s_40_r_1.png,s_50_r_6.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,64.502,67.552,left,2.515,,0,17,17,17,1,17,5,10,33,s_5_r_7.png,s_10_r_4.png,s_33_r_2.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,67.555,70.168,right,2.074,,0,18,18,18,1,18,33,50,60,s_33_r_10.png,s_50_r_4.png,s_60_r_9.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,70.169,76.001,right,5.291,,0,19,19,19,1,19,60,33,15,s_60_r_5.png,s_33_r_5.png,s_15_r_2.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,76.004,80.601,right,4.063,,0,20,20,20,1,20,40,33,25,s_40_r_4.png,s_33_r_10.png,s_25_r_3.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,80.603,84.017,right,2.875,,0,21,21,21,1,21,5,15,25,s_5_r_5.png,s_15_r_7.png,s_25_r_8.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,84.019,85.417,left,0.858,,0,22,22,22,1,22,60,50,5,s_60_r_4.png,s_50_r_2.png,s_5_r_3.png,,
,,1,ch,2025-08-18_17h09.56.732,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,59.95203837,85.42,89.067,right,3.115,,0,23,23,23,1,23,60,25,15,s_60_r_1.png,s_25_r_10.png,s_15_r_9.png,,
