instruct.started,instruct.stopped,session,participant,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trial,s1,s2,s3,im1,im2,im3,thanks.started,thanks.stopped
0.0001,1.1949,1,GA,2025-08-18_16h54.23.722,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,
,,1,GA,2025-08-18_16h54.23.722,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,1.2069,3.0966,right,1.3492,,0,0,0,0,1,0,60,20,5,s_60_r_2.png,s_20_r_7.png,s_5_r_6.png,,
,,1,GA,2025-08-18_16h54.23.722,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,3.0978,4.9483,left,1.3059,,0,1,1,1,1,1,50,33,10,s_50_r_2.png,s_33_r_8.png,s_10_r_3.png,,
,,1,GA,2025-08-18_16h54.23.722,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,4.95,6.199,right,0.713,,0,2,2,2,1,2,60,10,5,s_60_r_5.png,s_10_r_8.png,s_5_r_2.png,,
,,1,GA,2025-08-18_16h54.23.722,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,6.2005,8.1165,right,1.3796,,0,3,3,3,1,3,10,33,60,s_10_r_3.png,s_33_r_8.png,s_60_r_9.png,,
,,1,GA,2025-08-18_16h54.23.722,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,8.1172,9.302,right,0.6563,,0,4,4,4,1,4,5,33,60,s_5_r_2.png,s_33_r_4.png,s_60_r_10.png,,
,,1,GA,2025-08-18_16h54.23.722,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,9.3035,10.8202,right,0.976,,0,5,5,5,1,5,10,15,33,s_10_r_10.png,s_15_r_7.png,s_33_r_8.png,,
,,1,GA,2025-08-18_16h54.23.722,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,10.8216,12.9883,right,1.628,,0,6,6,6,1,6,20,15,5,s_20_r_7.png,s_15_r_8.png,s_5_r_7.png,,
,,1,GA,2025-08-18_16h54.23.722,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,12.99,14.2058,right,0.6875,,0,7,7,7,1,7,5,33,50,s_5_r_4.png,s_33_r_2.png,s_50_r_1.png,,
,,1,GA,2025-08-18_16h54.23.722,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,14.2073,16.2078,left,1.456,,0,8,8,8,1,8,33,25,5,s_33_r_1.png,s_25_r_9.png,s_5_r_9.png,,
,,1,GA,2025-08-18_16h54.23.722,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,16.2089,18.0586,right,1.3058,,0,9,9,9,1,9,15,20,40,s_15_r_10.png,s_20_r_4.png,s_40_r_5.png,,
,,1,GA,2025-08-18_16h54.23.722,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,18.0599,20.1282,right,1.5377,,0,10,10,10,1,10,40,20,10,s_40_r_3.png,s_20_r_10.png,s_10_r_10.png,,
