instruct.started,instruct.stopped,session,participant,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trial,s1,s2,s3,im1,im2,im3,thanks.started,thanks.stopped
0.0001,5.5144,1,JXV,2025-08-20_11h07.00.595,mlds_experiment_numerosity_triads,2025.1.1,Win32,144.9275362,,,,,,,,,,,,,,,,,,,
,,1,JXV,2025-08-20_11h07.00.595,mlds_experiment_numerosity_triads,2025.1.1,Win32,144.9275362,5.5174,7.1957,right,1.1627,,0,0,0,0,1,0,60,20,5,s_60_r_2.png,s_20_r_7.png,s_5_r_6.png,,
,,1,JXV,2025-08-20_11h07.00.595,mlds_experiment_numerosity_triads,2025.1.1,Win32,144.9275362,7.1961,16.1657,right,8.4569,,0,1,1,1,1,1,50,33,10,s_50_r_2.png,s_33_r_8.png,s_10_r_3.png,,
,,1,JXV,2025-08-20_11h07.00.595,mlds_experiment_numerosity_triads,2025.1.1,Win32,144.9275362,16.17,17.6248,left,0.9505,,0,2,2,2,1,2,60,10,5,s_60_r_5.png,s_10_r_8.png,s_5_r_2.png,,
,,1,JXV,2025-08-20_11h07.00.595,mlds_experiment_numerosity_triads,2025.1.1,Win32,144.9275362,17.6252,19.5425,left,1.3968,,0,3,3,3,1,3,10,33,60,s_10_r_3.png,s_33_r_8.png,s_60_r_9.png,,
,,1,JXV,2025-08-20_11h07.00.595,mlds_experiment_numerosity_triads,2025.1.1,Win32,144.9275362,19.5428,21.5783,left,1.5257,,0,4,4,4,1,4,5,33,60,s_5_r_2.png,s_33_r_4.png,s_60_r_10.png,,
,,1,JXV,2025-08-20_11h07.00.595,mlds_experiment_numerosity_triads,2025.1.1,Win32,144.9275362,21.5786,23.35,right,1.2582,,0,5,5,5,1,5,10,15,33,s_10_r_10.png,s_15_r_7.png,s_33_r_8.png,,
,,1,JXV,2025-08-20_11h07.00.595,mlds_experiment_numerosity_triads,2025.1.1,Win32,144.9275362,23.3505,25.5873,left,1.7261,,0,6,6,6,1,6,20,15,5,s_20_r_7.png,s_15_r_8.png,s_5_r_7.png,,
,,1,JXV,2025-08-20_11h07.00.595,mlds_experiment_numerosity_triads,2025.1.1,Win32,144.9275362,25.5876,27.241,left,1.1451,,0,7,7,7,1,7,5,33,50,s_5_r_4.png,s_33_r_2.png,s_50_r_1.png,,
,,1,JXV,2025-08-20_11h07.00.595,mlds_experiment_numerosity_triads,2025.1.1,Win32,144.9275362,27.2413,28.6099,right,0.8591,,0,8,8,8,1,8,33,25,5,s_33_r_1.png,s_25_r_9.png,s_5_r_9.png,,
