trial,lum1,lum2,c1,c2,im,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruct.started,ready.started,instrText.started,instruct.stopped,trial.started,resp.started,image.started,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,thanks.started,thanksText.started,thanks.stopped,session,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.006308317184448242,0.010123968124389648,0.010123968124389648,0.8789873123168945,,,,,,,,,,,2,GA6,2025-08-20_16h08.28.962,mlcm_experiment_whites_illusion,,2025.1.1,59.93883652202743,2025-08-20 16h08.35.618373 +0200,
0,0.75,0.58,1.0,0.0,imgs/white_0.75_0.58_1.0_0.0.png,0,0,0,right,1.4760537147521973,None,0,0,0,0,0.8972253799438477,,,,,,0.8938939571380615,1.3938424587249756,1.3938424587249756,2.880561351776123,right,1.4760537147521973,None,,,,2,GA6,2025-08-20_16h08.28.962,mlcm_experiment_whites_illusion,,2025.1.1,59.93883652202743,2025-08-20 16h08.35.618373 +0200,
1,0.5,0.5,1.0,0.0,imgs/white_0.5_0.5_1.0_0.0.png,1,1,0,right,0.5630390644073486,None,0,1,1,1,2.894686460494995,,,,,,2.8871450424194336,3.395199775695801,3.395199775695801,3.964784622192383,right,0.5630390644073486,None,,,,2,GA6,2025-08-20_16h08.28.962,mlcm_experiment_whites_illusion,,2025.1.1,59.93883652202743,2025-08-20 16h08.35.618373 +0200,
2,0.42,0.67,1.0,0.0,imgs/white_0.42_0.67_1.0_0.0.png,2,2,0,right,0.5584065914154053,None,0,2,2,2,3.979003429412842,,,,,,3.969604730606079,4.479583740234375,4.479583740234375,5.049447774887085,right,0.5584065914154053,None,,,,2,GA6,2025-08-20_16h08.28.962,mlcm_experiment_whites_illusion,,2025.1.1,59.93883652202743,2025-08-20 16h08.35.618373 +0200,
3,0.42,0.67,0.0,1.0,imgs/white_0.42_0.67_0.0_1.0.png,3,3,0,right,1.689873456954956,None,0,3,3,3,5.063157558441162,,,,,,5.054372072219849,5.563866376876831,5.563866376876831,7.2681050300598145,right,1.689873456954956,None,,,,2,GA6,2025-08-20_16h08.28.962,mlcm_experiment_whites_illusion,,2025.1.1,59.93883652202743,2025-08-20 16h08.35.618373 +0200,
4,0.42,0.75,0.0,1.0,imgs/white_0.42_0.75_0.0_1.0.png,4,4,0,right,0.8168597221374512,None,0,4,4,4,7.281788110733032,,,,,,7.275918245315552,7.781557083129883,7.781557083129883,8.602252960205078,right,0.8168597221374512,None,,,,2,GA6,2025-08-20_16h08.28.962,mlcm_experiment_whites_illusion,,2025.1.1,59.93883652202743,2025-08-20 16h08.35.618373 +0200,
5,0.33,0.67,0.0,1.0,imgs/white_0.33_0.67_0.0_1.0.png,5,5,0,right,0.737480878829956,None,0,5,5,5,8.61635947227478,,,,,,8.607721090316772,9.116673946380615,9.116673946380615,9.870066404342651,right,0.737480878829956,None,,,,2,GA6,2025-08-20_16h08.28.962,mlcm_experiment_whites_illusion,,2025.1.1,59.93883652202743,2025-08-20 16h08.35.618373 +0200,
6,0.75,0.75,1.0,0.0,imgs/white_0.75_0.75_1.0_0.0.png,6,6,0,right,2.3342130184173584,None,0,6,6,6,9.883769512176514,,,,,,9.877778053283691,10.384469032287598,10.384469032287598,12.722285270690918,right,2.3342130184173584,None,,,,2,GA6,2025-08-20_16h08.28.962,mlcm_experiment_whites_illusion,,2025.1.1,59.93883652202743,2025-08-20 16h08.35.618373 +0200,
7,0.42,0.67,1.0,0.0,imgs/white_0.42_0.67_1.0_0.0.png,7,7,0,right,0.5691235065460205,None,0,7,7,7,12.736188650131226,,,,,,12.730026721954346,13.236924648284912,13.236924648284912,13.820941925048828,right,0.5691235065460205,None,,,,2,GA6,2025-08-20_16h08.28.962,mlcm_experiment_whites_illusion,,2025.1.1,59.93883652202743,2025-08-20 16h08.35.618373 +0200,
8,0.75,0.33,1.0,0.0,imgs/white_0.75_0.33_1.0_0.0.png,8,8,0,left,0.8052568435668945,None,0,8,8,8,13.836552381515503,,,,,,13.824823379516602,14.321025848388672,14.321025848388672,15.141002893447876,left,0.8052568435668945,None,,,,2,GA6,2025-08-20_16h08.28.962,mlcm_experiment_whites_illusion,,2025.1.1,59.93883652202743,2025-08-20 16h08.35.618373 +0200,
9,0.33,0.33,1.0,0.0,imgs/white_0.33_0.33_1.0_0.0.png,9,9,0,right,1.078739881515503,None,0,9,9,9,15.154843091964722,,,,,,15.14589262008667,15.65570592880249,15.65570592880249,16.74222183227539,right,1.078739881515503,None,,,,2,GA6,2025-08-20_16h08.28.962,mlcm_experiment_whites_illusion,,2025.1.1,59.93883652202743,2025-08-20 16h08.35.618373 +0200,
10,0.75,0.58,0.0,1.0,imgs/white_0.75_0.58_0.0_1.0.png,10,10,0,left,0.5575816631317139,None,0,10,10,10,16.756328105926514,,,,,,16.747267246246338,17.256953954696655,17.256953954696655,17.826651096343994,left,0.5575816631317139,None,,,,2,GA6,2025-08-20_16h08.28.962,mlcm_experiment_whites_illusion,,2025.1.1,59.93883652202743,2025-08-20 16h08.35.618373 +0200,
