trial,lum1,lum2,c1,c2,im
0,0.42,0.67,1.0,0.0,imgs/white_0.42_0.67_1.0_0.0.png
1,0.33,0.67,0.0,1.0,imgs/white_0.33_0.67_0.0_1.0.png
2,0.67,0.5,0.0,1.0,imgs/white_0.67_0.5_0.0_1.0.png
3,0.5,0.67,1.0,0.0,imgs/white_0.5_0.67_1.0_0.0.png
4,0.75,0.42,0.0,1.0,imgs/white_0.75_0.42_0.0_1.0.png
5,0.5,0.58,0.0,1.0,imgs/white_0.5_0.58_0.0_1.0.png
6,0.5,0.67,0.0,1.0,imgs/white_0.5_0.67_0.0_1.0.png
7,0.75,0.25,1.0,0.0,imgs/white_0.75_0.25_1.0_0.0.png
8,0.5,0.25,1.0,0.0,imgs/white_0.5_0.25_1.0_0.0.png
9,0.25,0.25,1.0,0.0,imgs/white_0.25_0.25_1.0_0.0.png
10,0.42,0.67,0.0,1.0,imgs/white_0.42_0.67_0.0_1.0.png
11,0.33,0.58,0.0,1.0,imgs/white_0.33_0.58_0.0_1.0.png
12,0.42,0.42,0.0,1.0,imgs/white_0.42_0.42_0.0_1.0.png
13,0.25,0.33,0.0,1.0,imgs/white_0.25_0.33_0.0_1.0.png
14,0.42,0.58,0.0,1.0,imgs/white_0.42_0.58_0.0_1.0.png
15,0.33,0.75,0.0,1.0,imgs/white_0.33_0.75_0.0_1.0.png
16,0.25,0.42,1.0,0.0,imgs/white_0.25_0.42_1.0_0.0.png
17,0.58,0.58,0.0,1.0,imgs/white_0.58_0.58_0.0_1.0.png
18,0.25,0.58,0.0,1.0,imgs/white_0.25_0.58_0.0_1.0.png
19,0.75,0.67,0.0,1.0,imgs/white_0.75_0.67_0.0_1.0.png
20,0.25,0.42,0.0,1.0,imgs/white_0.25_0.42_0.0_1.0.png
21,0.67,0.75,1.0,0.0,imgs/white_0.67_0.75_1.0_0.0.png
22,0.25,0.5,1.0,0.0,imgs/white_0.25_0.5_1.0_0.0.png
23,0.25,0.25,0.0,1.0,imgs/white_0.25_0.25_0.0_1.0.png
24,0.5,0.42,0.0,1.0,imgs/white_0.5_0.42_0.0_1.0.png
25,0.25,0.58,0.0,1.0,imgs/white_0.25_0.58_0.0_1.0.png
26,0.25,0.67,1.0,0.0,imgs/white_0.25_0.67_1.0_0.0.png
27,0.33,0.33,0.0,1.0,imgs/white_0.33_0.33_0.0_1.0.png
28,0.33,0.25,1.0,0.0,imgs/white_0.33_0.25_1.0_0.0.png
29,0.33,0.25,0.0,1.0,imgs/white_0.33_0.25_0.0_1.0.png
30,0.42,0.33,1.0,0.0,imgs/white_0.42_0.33_1.0_0.0.png
31,0.67,0.75,0.0,1.0,imgs/white_0.67_0.75_0.0_1.0.png
32,0.42,0.67,1.0,0.0,imgs/white_0.42_0.67_1.0_0.0.png
33,0.42,0.33,0.0,1.0,imgs/white_0.42_0.33_0.0_1.0.png
34,0.42,0.5,1.0,0.0,imgs/white_0.42_0.5_1.0_0.0.png
35,0.67,0.58,1.0,0.0,imgs/white_0.67_0.58_1.0_0.0.png
36,0.5,0.42,1.0,0.0,imgs/white_0.5_0.42_1.0_0.0.png
37,0.67,0.5,1.0,0.0,imgs/white_0.67_0.5_1.0_0.0.png
38,0.25,0.58,1.0,0.0,imgs/white_0.25_0.58_1.0_0.0.png
39,0.42,0.33,1.0,0.0,imgs/white_0.42_0.33_1.0_0.0.png
40,0.5,0.5,0.0,1.0,imgs/white_0.5_0.5_0.0_1.0.png
41,0.75,0.67,1.0,0.0,imgs/white_0.75_0.67_1.0_0.0.png
42,0.58,0.5,0.0,1.0,imgs/white_0.58_0.5_0.0_1.0.png
43,0.5,0.25,0.0,1.0,imgs/white_0.5_0.25_0.0_1.0.png
44,0.67,0.67,1.0,0.0,imgs/white_0.67_0.67_1.0_0.0.png
45,0.75,0.58,1.0,0.0,imgs/white_0.75_0.58_1.0_0.0.png
46,0.67,0.33,1.0,0.0,imgs/white_0.67_0.33_1.0_0.0.png
47,0.67,0.25,1.0,0.0,imgs/white_0.67_0.25_1.0_0.0.png
48,0.33,0.5,0.0,1.0,imgs/white_0.33_0.5_0.0_1.0.png
49,0.75,0.75,1.0,0.0,imgs/white_0.75_0.75_1.0_0.0.png
50,0.75,0.25,0.0,1.0,imgs/white_0.75_0.25_0.0_1.0.png
51,0.5,0.58,1.0,0.0,imgs/white_0.5_0.58_1.0_0.0.png
52,0.5,0.33,1.0,0.0,imgs/white_0.5_0.33_1.0_0.0.png
53,0.75,0.75,1.0,0.0,imgs/white_0.75_0.75_1.0_0.0.png
54,0.33,0.67,1.0,0.0,imgs/white_0.33_0.67_1.0_0.0.png
55,0.33,0.75,0.0,1.0,imgs/white_0.33_0.75_0.0_1.0.png
56,0.67,0.58,1.0,0.0,imgs/white_0.67_0.58_1.0_0.0.png
57,0.33,0.5,1.0,0.0,imgs/white_0.33_0.5_1.0_0.0.png
58,0.25,0.67,0.0,1.0,imgs/white_0.25_0.67_0.0_1.0.png
59,0.42,0.5,0.0,1.0,imgs/white_0.42_0.5_0.0_1.0.png
60,0.5,0.58,0.0,1.0,imgs/white_0.5_0.58_0.0_1.0.png
61,0.75,0.5,0.0,1.0,imgs/white_0.75_0.5_0.0_1.0.png
62,0.75,0.42,1.0,0.0,imgs/white_0.75_0.42_1.0_0.0.png
63,0.75,0.58,0.0,1.0,imgs/white_0.75_0.58_0.0_1.0.png
64,0.58,0.75,1.0,0.0,imgs/white_0.58_0.75_1.0_0.0.png
