trial,s1,s2,s3,im1,im2,im3
0,33,20,5,s_33_r_2.png,s_20_r_9.png,s_5_r_4.png
1,50,40,10,s_50_r_6.png,s_40_r_9.png,s_10_r_1.png
2,15,25,60,s_15_r_6.png,s_25_r_3.png,s_60_r_9.png
3,10,15,33,s_10_r_8.png,s_15_r_1.png,s_33_r_10.png
4,15,33,60,s_15_r_5.png,s_33_r_8.png,s_60_r_2.png
5,60,15,10,s_60_r_9.png,s_15_r_6.png,s_10_r_6.png
6,10,15,40,s_10_r_8.png,s_15_r_9.png,s_40_r_4.png
7,50,25,20,s_50_r_1.png,s_25_r_6.png,s_20_r_8.png
8,5,33,50,s_5_r_6.png,s_33_r_10.png,s_50_r_4.png
9,50,15,5,s_50_r_4.png,s_15_r_7.png,s_5_r_1.png
10,5,20,25,s_5_r_4.png,s_20_r_4.png,s_25_r_6.png
11,10,20,33,s_10_r_2.png,s_20_r_3.png,s_33_r_10.png
12,25,33,60,s_25_r_7.png,s_33_r_10.png,s_60_r_3.png
13,5,33,60,s_5_r_8.png,s_33_r_7.png,s_60_r_1.png
14,20,40,60,s_20_r_6.png,s_40_r_5.png,s_60_r_8.png
15,25,10,5,s_25_r_10.png,s_10_r_3.png,s_5_r_6.png
16,50,40,20,s_50_r_4.png,s_40_r_10.png,s_20_r_2.png
17,15,50,60,s_15_r_10.png,s_50_r_4.png,s_60_r_1.png
18,10,50,60,s_10_r_2.png,s_50_r_6.png,s_60_r_7.png
19,50,25,15,s_50_r_1.png,s_25_r_4.png,s_15_r_7.png
20,33,10,5,s_33_r_4.png,s_10_r_1.png,s_5_r_6.png
21,25,40,50,s_25_r_6.png,s_40_r_8.png,s_50_r_6.png
22,60,25,5,s_60_r_4.png,s_25_r_3.png,s_5_r_6.png
23,10,15,20,s_10_r_8.png,s_15_r_9.png,s_20_r_1.png
24,10,33,40,s_10_r_6.png,s_33_r_2.png,s_40_r_2.png
25,5,40,50,s_5_r_3.png,s_40_r_7.png,s_50_r_7.png
26,5,15,40,s_5_r_9.png,s_15_r_8.png,s_40_r_5.png
27,5,25,33,s_5_r_8.png,s_25_r_7.png,s_33_r_6.png
28,20,25,60,s_20_r_2.png,s_25_r_2.png,s_60_r_1.png
29,5,15,33,s_5_r_3.png,s_15_r_10.png,s_33_r_4.png
30,40,33,20,s_40_r_9.png,s_33_r_3.png,s_20_r_10.png
31,60,50,25,s_60_r_9.png,s_50_r_4.png,s_25_r_2.png
32,40,33,5,s_40_r_5.png,s_33_r_8.png,s_5_r_8.png
33,60,33,10,s_60_r_8.png,s_33_r_6.png,s_10_r_1.png
34,20,33,50,s_20_r_7.png,s_33_r_8.png,s_50_r_4.png
35,10,20,50,s_10_r_7.png,s_20_r_6.png,s_50_r_5.png
36,60,40,15,s_60_r_3.png,s_40_r_10.png,s_15_r_4.png
37,5,10,15,s_5_r_10.png,s_10_r_10.png,s_15_r_6.png
38,60,40,5,s_60_r_7.png,s_40_r_4.png,s_5_r_9.png
39,33,25,15,s_33_r_8.png,s_25_r_1.png,s_15_r_4.png
40,60,20,10,s_60_r_9.png,s_20_r_7.png,s_10_r_8.png
41,15,20,60,s_15_r_4.png,s_20_r_9.png,s_60_r_1.png
42,60,20,5,s_60_r_9.png,s_20_r_6.png,s_5_r_1.png
43,60,15,5,s_60_r_1.png,s_15_r_7.png,s_5_r_1.png
44,40,33,25,s_40_r_4.png,s_33_r_1.png,s_25_r_7.png
45,25,15,5,s_25_r_8.png,s_15_r_7.png,s_5_r_5.png
46,40,33,15,s_40_r_9.png,s_33_r_3.png,s_15_r_3.png
47,25,20,15,s_25_r_1.png,s_20_r_5.png,s_15_r_10.png
48,50,33,10,s_50_r_8.png,s_33_r_3.png,s_10_r_9.png
49,20,25,40,s_20_r_2.png,s_25_r_7.png,s_40_r_4.png
50,60,50,20,s_60_r_4.png,s_50_r_9.png,s_20_r_7.png
51,10,15,25,s_10_r_6.png,s_15_r_1.png,s_25_r_8.png
52,60,40,33,s_60_r_4.png,s_40_r_2.png,s_33_r_6.png
53,60,25,10,s_60_r_9.png,s_25_r_2.png,s_10_r_5.png
54,33,20,15,s_33_r_8.png,s_20_r_6.png,s_15_r_9.png
55,50,25,10,s_50_r_6.png,s_25_r_9.png,s_10_r_7.png
56,33,40,50,s_33_r_9.png,s_40_r_7.png,s_50_r_10.png
57,20,15,5,s_20_r_2.png,s_15_r_3.png,s_5_r_8.png
58,10,25,40,s_10_r_2.png,s_25_r_2.png,s_40_r_4.png
