instruct.started,instruct.stopped,session,participant,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trial,s1,s2,s3,im1,im2,im3,thanks.started,thanks.stopped
,,1,GAD2,2025-08-14_18h21.14.836,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,60.24096386,1.2997,2.9204,right,1.0844,,0,0,0,0,1,0,200,15,10,s_200_r_7.png,s_15_r_2.png,s_10_r_9.png,,
,,1,GAD2,2025-08-14_18h21.14.836,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,60.24096386,2.9221,5.8557,right,2.3899,,0,1,1,1,1,1,15,100,150,s_15_r_8.png,s_100_r_4.png,s_150_r_1.png,,
,,1,GAD2,2025-08-14_18h21.14.836,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,60.24096386,5.8569,12.9614,right,6.567,,0,2,2,2,1,2,100,50,15,s_100_r_4.png,s_50_r_1.png,s_15_r_2.png,,
,,1,GAD2,2025-08-14_18h21.14.836,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,60.24096386,12.9623,16.6649,right,3.1566,,0,3,3,3,1,3,150,50,20,s_150_r_8.png,s_50_r_3.png,s_20_r_4.png,,
,,1,GAD2,2025-08-14_18h21.14.836,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,60.24096386,16.6676,18.5999,left,1.3882,,0,4,4,4,1,4,20,25,200,s_20_r_8.png,s_25_r_7.png,s_200_r_9.png,,
,,1,GAD2,2025-08-14_18h21.14.836,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,60.24096386,18.6016,20.2347,right,1.0905,,0,5,5,5,1,5,200,50,15,s_200_r_6.png,s_50_r_7.png,s_15_r_7.png,,
,,1,GAD2,2025-08-14_18h21.14.836,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,60.24096386,20.2358,22.036,left,1.257,,0,6,6,6,1,6,10,15,100,s_10_r_10.png,s_15_r_10.png,s_100_r_2.png,,
,,1,GAD2,2025-08-14_18h21.14.836,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,60.24096386,22.0371,25.9222,left,3.3395,,0,7,7,7,1,7,10,75,200,s_10_r_6.png,s_75_r_9.png,s_200_r_1.png,,
,,1,GAD2,2025-08-14_18h21.14.836,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,60.24096386,25.9236,27.7744,right,1.3076,,0,8,8,8,1,8,75,20,15,s_75_r_3.png,s_20_r_6.png,s_15_r_10.png,,
,,1,GAD2,2025-08-14_18h21.14.836,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,60.24096386,27.7754,29.2918,left,0.9737,,0,9,9,9,1,9,75,50,10,s_75_r_9.png,s_50_r_4.png,s_10_r_1.png,,
