instruct.started,instruct.stopped,session,participant,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trial,s1,s2,s3,im1,im2,im3,thanks.started,thanks.stopped
0,7.715,1,MM,2025-08-18_15h38.19.461,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,66.66666667,,,,,,,,,,,,,,,,,,,
,,1,MM,2025-08-18_15h38.19.461,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,66.66666667,7.724,65.89,right,57.631,,0,0,0,0,1,0,60,40,30,s_60_r_5.png,s_40_r_8.png,s_30_r_8.png,,
,,1,MM,2025-08-18_15h38.19.461,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,66.66666667,65.894,129.216,right,62.786,,0,1,1,1,1,1,20,40,60,s_20_r_9.png,s_40_r_7.png,s_60_r_2.png,,
,,1,MM,2025-08-18_15h38.19.461,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,66.66666667,129.22,133.136,right,3.384,,0,2,2,2,1,2,10,40,50,s_10_r_1.png,s_40_r_3.png,s_50_r_9.png,,
,,1,MM,2025-08-18_15h38.19.461,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,66.66666667,133.139,140.336,right,6.679,,0,3,3,3,1,3,25,50,60,s_25_r_2.png,s_50_r_4.png,s_60_r_10.png,,
,,1,MM,2025-08-18_15h38.19.461,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,66.66666667,140.338,159.899,right,19.03,,0,4,4,4,1,4,20,25,30,s_20_r_1.png,s_25_r_8.png,s_30_r_4.png,,
,,1,MM,2025-08-18_15h38.19.461,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,66.66666667,159.901,161.7,right,1.262,,0,5,5,5,1,5,5,30,40,s_5_r_2.png,s_30_r_3.png,s_40_r_2.png,,
,,1,MM,2025-08-18_15h38.19.461,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,66.66666667,161.704,183.219,right,20.978,,0,6,6,6,1,6,15,25,30,s_15_r_1.png,s_25_r_5.png,s_30_r_2.png,,
,,1,MM,2025-08-18_15h38.19.461,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,66.66666667,183.221,186.175,left,2.42,,0,7,7,7,1,7,5,10,30,s_5_r_4.png,s_10_r_9.png,s_30_r_6.png,,
,,1,MM,2025-08-18_15h38.19.461,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,66.66666667,186.177,190.062,left,3.357,,0,8,8,8,1,8,25,20,10,s_25_r_6.png,s_20_r_5.png,s_10_r_7.png,,
