trial,s1,s2,s3,im1,im2,im3
0,50,40,20,s_50_r_7.png,s_40_r_6.png,s_20_r_3.png
1,20,10,5,s_20_r_9.png,s_10_r_10.png,s_5_r_8.png
2,20,15,5,s_20_r_7.png,s_15_r_7.png,s_5_r_8.png
3,20,25,50,s_20_r_2.png,s_25_r_3.png,s_50_r_10.png
4,40,30,10,s_40_r_1.png,s_30_r_9.png,s_10_r_3.png
5,40,30,15,s_40_r_8.png,s_30_r_3.png,s_15_r_10.png
6,50,40,10,s_50_r_3.png,s_40_r_7.png,s_10_r_1.png
7,10,50,60,s_10_r_2.png,s_50_r_4.png,s_60_r_6.png
8,50,40,25,s_50_r_8.png,s_40_r_2.png,s_25_r_1.png
9,10,40,60,s_10_r_3.png,s_40_r_4.png,s_60_r_4.png
10,60,20,15,s_60_r_6.png,s_20_r_5.png,s_15_r_7.png
11,5,20,30,s_5_r_6.png,s_20_r_2.png,s_30_r_8.png
12,30,20,15,s_30_r_9.png,s_20_r_8.png,s_15_r_2.png
13,50,20,15,s_50_r_9.png,s_20_r_10.png,s_15_r_5.png
14,15,25,40,s_15_r_7.png,s_25_r_9.png,s_40_r_6.png
15,50,40,5,s_50_r_8.png,s_40_r_1.png,s_5_r_9.png
16,60,30,15,s_60_r_7.png,s_30_r_1.png,s_15_r_10.png
17,20,50,60,s_20_r_3.png,s_50_r_1.png,s_60_r_7.png
18,5,10,50,s_5_r_2.png,s_10_r_9.png,s_50_r_6.png
19,50,25,15,s_50_r_8.png,s_25_r_4.png,s_15_r_6.png
20,60,50,15,s_60_r_9.png,s_50_r_6.png,s_15_r_2.png
21,25,30,60,s_25_r_2.png,s_30_r_1.png,s_60_r_2.png
22,10,20,30,s_10_r_4.png,s_20_r_5.png,s_30_r_8.png
23,10,30,60,s_10_r_2.png,s_30_r_7.png,s_60_r_3.png
24,60,40,15,s_60_r_4.png,s_40_r_3.png,s_15_r_3.png
25,30,40,60,s_30_r_5.png,s_40_r_6.png,s_60_r_7.png
26,50,20,5,s_50_r_10.png,s_20_r_2.png,s_5_r_2.png
27,25,20,10,s_25_r_10.png,s_20_r_8.png,s_10_r_3.png
28,25,15,10,s_25_r_7.png,s_15_r_9.png,s_10_r_10.png
29,60,50,40,s_60_r_7.png,s_50_r_3.png,s_40_r_6.png
30,5,20,60,s_5_r_4.png,s_20_r_10.png,s_60_r_1.png
31,50,20,10,s_50_r_6.png,s_20_r_5.png,s_10_r_2.png
32,50,40,15,s_50_r_3.png,s_40_r_6.png,s_15_r_1.png
33,5,20,40,s_5_r_1.png,s_20_r_8.png,s_40_r_3.png
34,5,40,60,s_5_r_9.png,s_40_r_9.png,s_60_r_9.png
35,5,15,30,s_5_r_5.png,s_15_r_4.png,s_30_r_10.png
36,20,15,10,s_20_r_5.png,s_15_r_9.png,s_10_r_5.png
37,25,30,40,s_25_r_5.png,s_30_r_7.png,s_40_r_10.png
38,15,20,40,s_15_r_6.png,s_20_r_8.png,s_40_r_8.png
39,20,25,30,s_20_r_3.png,s_25_r_3.png,s_30_r_5.png
40,15,25,30,s_15_r_1.png,s_25_r_2.png,s_30_r_10.png
41,40,20,10,s_40_r_3.png,s_20_r_7.png,s_10_r_1.png
42,10,15,30,s_10_r_6.png,s_15_r_8.png,s_30_r_6.png
43,5,15,60,s_5_r_9.png,s_15_r_4.png,s_60_r_8.png
44,20,40,60,s_20_r_9.png,s_40_r_4.png,s_60_r_10.png
45,50,30,15,s_50_r_3.png,s_30_r_10.png,s_15_r_3.png
46,10,15,50,s_10_r_8.png,s_15_r_1.png,s_50_r_9.png
47,10,25,30,s_10_r_10.png,s_25_r_8.png,s_30_r_1.png
48,30,50,60,s_30_r_2.png,s_50_r_7.png,s_60_r_9.png
49,60,20,10,s_60_r_5.png,s_20_r_8.png,s_10_r_10.png
50,60,40,25,s_60_r_6.png,s_40_r_8.png,s_25_r_7.png
51,5,15,40,s_5_r_5.png,s_15_r_1.png,s_40_r_2.png
52,50,30,25,s_50_r_1.png,s_30_r_10.png,s_25_r_4.png
53,20,25,60,s_20_r_9.png,s_25_r_9.png,s_60_r_7.png
54,5,25,50,s_5_r_9.png,s_25_r_5.png,s_50_r_9.png
55,10,25,40,s_10_r_7.png,s_25_r_5.png,s_40_r_4.png
56,50,25,10,s_50_r_6.png,s_25_r_2.png,s_10_r_9.png
57,5,10,40,s_5_r_9.png,s_10_r_1.png,s_40_r_7.png
