trial,s1,s2,s3,im1,im2,im3,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruct.started,ready.started,instrText.started,instruct.stopped,trial.started,resp.started,image1.started,image2.started,image3.started,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,thanks.started,thanksText.started,thanks.stopped,session,participant,date,expName,psychopyVersion,frameRate,expStart,
0,30,20,5,imgs/s_30_r_1.png,imgs/s_20_r_1.png,imgs/s_5_r_1.png,0,0,0,left,1.674100399017334,None,0,0,0,0,1.1145777702331543,,,,,,1.1108663082122803,1.5963249206542969,1.5963249206542969,1.5963249206542969,1.5963249206542969,3.2832560539245605,left,1.674100399017334,None,,,,1,GA,2025-08-08_17h53.27.533,mlds_experiment_numerosity_triads,2024.2.5,59.7436649811267,2025-08-08 17h53.32.704242 +0200,
1,10,25,50,imgs/s_10_r_1.png,imgs/s_25_r_1.png,imgs/s_50_r_1.png,1,1,0,left,3.0725669860839844,None,0,1,1,1,3.3010976314544678,,,,,,3.2979471683502197,3.797870635986328,3.797870635986328,3.797870635986328,3.797870635986328,6.886568307876587,left,3.0725669860839844,None,,,,1,GA,2025-08-08_17h53.27.533,mlds_experiment_numerosity_triads,2024.2.5,59.7436649811267,2025-08-08 17h53.32.704242 +0200,
2,15,20,40,imgs/s_15_r_1.png,imgs/s_20_r_1.png,imgs/s_40_r_1.png,2,2,0,left,2.3658432960510254,None,0,2,2,2,6.909407615661621,,,,,,6.906277418136597,7.400918245315552,7.400918245315552,7.400918245315552,7.400918245315552,9.771644353866577,left,2.3658432960510254,None,,,,1,GA,2025-08-08_17h53.27.533,mlds_experiment_numerosity_triads,2024.2.5,59.7436649811267,2025-08-08 17h53.32.704242 +0200,
3,15,25,50,imgs/s_15_r_1.png,imgs/s_25_r_1.png,imgs/s_50_r_1.png,3,3,0,left,2.320005178451538,None,0,3,3,3,9.786307573318481,,,,,,9.782446146011353,10.286733865737915,10.286733865737915,10.286733865737915,10.286733865737915,12.624605894088745,left,2.320005178451538,None,,,,1,GA,2025-08-08_17h53.27.533,mlds_experiment_numerosity_triads,2024.2.5,59.7436649811267,2025-08-08 17h53.32.704242 +0200,
4,30,50,60,imgs/s_30_r_1.png,imgs/s_50_r_1.png,imgs/s_60_r_1.png,4,4,0,right,2.0200066566467285,None,0,4,4,4,12.643421173095703,,,,,,12.640024662017822,13.13908052444458,13.13908052444458,13.13908052444458,13.13908052444458,15.176516771316528,right,2.0200066566467285,None,,,,1,GA,2025-08-08_17h53.27.533,mlds_experiment_numerosity_triads,2024.2.5,59.7436649811267,2025-08-08 17h53.32.704242 +0200,
5,20,15,5,imgs/s_20_r_1.png,imgs/s_15_r_1.png,imgs/s_5_r_1.png,5,5,0,left,2.1954290866851807,None,0,5,5,5,15.194695711135864,,,,,,15.191235065460205,15.691296815872192,15.691296815872192,15.691296815872192,15.691296815872192,17.89542293548584,left,2.1954290866851807,None,,,,1,GA,2025-08-08_17h53.27.533,mlds_experiment_numerosity_triads,2024.2.5,59.7436649811267,2025-08-08 17h53.32.704242 +0200,
6,30,40,50,imgs/s_30_r_1.png,imgs/s_40_r_1.png,imgs/s_50_r_1.png,6,6,0,right,3.5006015300750732,None,0,6,6,6,17.910162687301636,,,,,,17.90736961364746,18.41029667854309,18.41029667854309,18.41029667854309,18.41029667854309,21.915804862976074,right,3.5006015300750732,None,,,,1,GA,2025-08-08_17h53.27.533,mlds_experiment_numerosity_triads,2024.2.5,59.7436649811267,2025-08-08 17h53.32.704242 +0200,
7,20,25,60,imgs/s_20_r_1.png,imgs/s_25_r_1.png,imgs/s_60_r_1.png,7,7,0,left,2.1685683727264404,None,0,7,7,7,21.930533409118652,,,,,,21.92729115486145,22.43021512031555,22.43021512031555,22.43021512031555,22.43021512031555,24.617755651474,left,2.1685683727264404,None,,,,1,GA,2025-08-08_17h53.27.533,mlds_experiment_numerosity_triads,2024.2.5,59.7436649811267,2025-08-08 17h53.32.704242 +0200,
8,50,15,5,imgs/s_50_r_1.png,imgs/s_15_r_1.png,imgs/s_5_r_1.png,8,8,0,right,2.4670073986053467,None,0,8,8,8,24.632277011871338,,,,,,24.629286527633667,25.13240694999695,25.13240694999695,25.13240694999695,25.13240694999695,27.60412573814392,right,2.4670073986053467,None,,,,1,GA,2025-08-08_17h53.27.533,mlds_experiment_numerosity_triads,2024.2.5,59.7436649811267,2025-08-08 17h53.32.704242 +0200,
9,40,25,15,imgs/s_40_r_1.png,imgs/s_25_r_1.png,imgs/s_15_r_1.png,9,9,0,right,2.6009602546691895,None,0,9,9,9,27.618270874023438,,,,,,27.61518883705139,28.118417739868164,28.118417739868164,28.118417739868164,28.118417739868164,30.723386764526367,right,2.6009602546691895,None,,,,1,GA,2025-08-08_17h53.27.533,mlds_experiment_numerosity_triads,2024.2.5,59.7436649811267,2025-08-08 17h53.32.704242 +0200,
