trial,s1,s2,s3,i1,i2,i3,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruct.started,ready.started,instrText.started,instruct.stopped,trial.started,resp.started,image1.started,image2.started,image3.started,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,thanks.started,thanksText.started,thanks.stopped,session,participant,date,expName,psychopyVersion,frameRate,expStart,
0,10,15,25,imgs/s_10_r_2.png,imgs/s_15_r_2.png,imgs/s_25_r_2.png,0,0,0,right,4.067123889923096,None,0,0,0,0,0.684086799621582,,,,,,0.6807425022125244,1.1678574085235596,1.1678574085235596,1.1678574085235596,1.1678574085235596,5.23757529258728,right,4.067123889923096,None,,,,2,GA,2025-08-08_17h58.26.981,mlds_experiment_numerosity_triads,2024.2.5,59.729201674688845,2025-08-08 17h58.32.153286 +0200,
1,60,25,10,imgs/s_60_r_2.png,imgs/s_25_r_2.png,imgs/s_10_r_2.png,1,1,0,left,1.170203685760498,None,0,1,1,1,5.254120349884033,,,,,,5.2505388259887695,5.752656698226929,5.752656698226929,5.752656698226929,5.752656698226929,6.9394402503967285,left,1.170203685760498,None,,,,2,GA,2025-08-08_17h58.26.981,mlds_experiment_numerosity_triads,2024.2.5,59.729201674688845,2025-08-08 17h58.32.153286 +0200,
2,50,20,15,imgs/s_50_r_2.png,imgs/s_20_r_2.png,imgs/s_15_r_2.png,2,2,0,right,1.2930364608764648,None,0,2,2,2,6.957188129425049,,,,,,6.953886032104492,7.4539878368377686,7.4539878368377686,7.4539878368377686,7.4539878368377686,8.758123636245728,right,1.2930364608764648,None,,,,2,GA,2025-08-08_17h58.26.981,mlds_experiment_numerosity_triads,2024.2.5,59.729201674688845,2025-08-08 17h58.32.153286 +0200,
3,30,40,50,imgs/s_30_r_2.png,imgs/s_40_r_2.png,imgs/s_50_r_2.png,3,3,0,right,2.3787782192230225,None,0,3,3,3,8.77487850189209,,,,,,8.771459341049194,9.272361516952515,9.272361516952515,9.272361516952515,9.272361516952515,11.660360336303711,right,2.3787782192230225,None,,,,2,GA,2025-08-08_17h58.26.981,mlds_experiment_numerosity_triads,2024.2.5,59.729201674688845,2025-08-08 17h58.32.153286 +0200,
4,50,30,25,imgs/s_50_r_2.png,imgs/s_30_r_2.png,imgs/s_25_r_2.png,4,4,0,right,1.0281963348388672,None,0,4,4,4,11.675116300582886,,,,,,11.671783447265625,12.174866437911987,12.174866437911987,12.174866437911987,12.174866437911987,13.21102499961853,right,1.0281963348388672,None,,,,2,GA,2025-08-08_17h58.26.981,mlds_experiment_numerosity_triads,2024.2.5,59.729201674688845,2025-08-08 17h58.32.153286 +0200,
5,40,25,10,imgs/s_40_r_2.png,imgs/s_25_r_2.png,imgs/s_10_r_2.png,5,5,0,left,0.9811487197875977,None,0,5,5,5,13.225757360458374,,,,,,13.222463607788086,13.726023197174072,13.726023197174072,13.726023197174072,13.726023197174072,14.71210241317749,left,0.9811487197875977,None,,,,2,GA,2025-08-08_17h58.26.981,mlds_experiment_numerosity_triads,2024.2.5,59.729201674688845,2025-08-08 17h58.32.153286 +0200,
6,5,10,50,imgs/s_5_r_2.png,imgs/s_10_r_2.png,imgs/s_50_r_2.png,6,6,0,left,1.30375075340271,None,0,6,6,6,14.733529567718506,,,,,,14.730182886123657,15.227347373962402,15.227347373962402,15.227347373962402,15.227347373962402,16.548030376434326,left,1.30375075340271,None,,,,2,GA,2025-08-08_17h58.26.981,mlds_experiment_numerosity_triads,2024.2.5,59.729201674688845,2025-08-08 17h58.32.153286 +0200,
7,15,10,5,imgs/s_15_r_2.png,imgs/s_10_r_2.png,imgs/s_5_r_2.png,7,7,0,right,1.0445122718811035,None,0,7,7,7,16.564279556274414,,,,,,16.561312675476074,17.062058687210083,17.062058687210083,17.062058687210083,17.062058687210083,18.113580465316772,right,1.0445122718811035,None,,,,2,GA,2025-08-08_17h58.26.981,mlds_experiment_numerosity_triads,2024.2.5,59.729201674688845,2025-08-08 17h58.32.153286 +0200,
8,60,30,25,imgs/s_60_r_2.png,imgs/s_30_r_2.png,imgs/s_25_r_2.png,8,8,0,right,1.0848398208618164,None,0,8,8,8,18.12956213951111,,,,,,18.121946334838867,18.61348819732666,18.61348819732666,18.61348819732666,18.61348819732666,19.715019464492798,right,1.0848398208618164,None,,,,2,GA,2025-08-08_17h58.26.981,mlds_experiment_numerosity_triads,2024.2.5,59.729201674688845,2025-08-08 17h58.32.153286 +0200,
9,20,30,60,imgs/s_20_r_2.png,imgs/s_30_r_2.png,imgs/s_60_r_2.png,9,9,0,left,1.3715415000915527,None,0,9,9,9,19.73082208633423,,,,,,19.721778631210327,20.214832305908203,20.214832305908203,20.214832305908203,20.214832305908203,21.608919382095337,left,1.3715415000915527,None,,,,2,GA,2025-08-08_17h58.26.981,mlds_experiment_numerosity_triads,2024.2.5,59.729201674688845,2025-08-08 17h58.32.153286 +0200,
