instruct.started,instruct.stopped,session,participant,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trial,s1,s2,s3,im1,im2,im3,thanks.started,thanks.stopped
0.0003,1.2418,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,1.2555,3.4434,right,1.6535,,0,0,0,0,1,0,60,40,30,s_60_r_5.png,s_40_r_8.png,s_30_r_8.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,3.4445,8.0798,right,4.0877,,0,1,1,1,1,1,20,40,60,s_20_r_9.png,s_40_r_7.png,s_60_r_2.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,8.081,10.2151,right,1.6054,,0,2,2,2,1,2,10,40,50,s_10_r_1.png,s_40_r_3.png,s_50_r_9.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,10.2164,12.2172,right,1.4803,,0,3,3,3,1,3,25,50,60,s_25_r_2.png,s_50_r_4.png,s_60_r_10.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,12.2181,14.7024,right,1.9433,,0,4,4,4,1,4,20,25,30,s_20_r_1.png,s_25_r_8.png,s_30_r_4.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,14.7036,16.1038,right,0.8547,,0,5,5,5,1,5,5,30,40,s_5_r_2.png,s_30_r_3.png,s_40_r_2.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,16.1054,18.172,right,1.5287,,0,6,6,6,1,6,15,25,30,s_15_r_1.png,s_25_r_5.png,s_30_r_2.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,18.1741,20.4574,left,1.7398,,0,7,7,7,1,7,5,10,30,s_5_r_4.png,s_10_r_9.png,s_30_r_6.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,20.4589,22.5927,right,1.593,,0,8,8,8,1,8,25,20,10,s_25_r_6.png,s_20_r_5.png,s_10_r_7.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,22.5948,24.0936,left,0.9582,,0,9,9,9,1,9,5,10,60,s_5_r_2.png,s_10_r_7.png,s_60_r_8.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,24.0958,27.0797,right,2.4458,,0,10,10,10,1,10,15,25,40,s_15_r_10.png,s_25_r_5.png,s_40_r_6.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,27.0816,28.2641,right,0.6395,,0,11,11,11,1,11,50,20,15,s_50_r_3.png,s_20_r_3.png,s_15_r_2.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,28.2659,29.5818,left,0.7799,,0,12,12,12,1,12,60,50,15,s_60_r_3.png,s_50_r_7.png,s_15_r_2.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,29.5836,31.4165,right,1.2933,,0,13,13,13,1,13,40,20,10,s_40_r_1.png,s_20_r_8.png,s_10_r_4.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,31.418,34.2356,left,2.2731,,0,14,14,14,1,14,60,30,5,s_60_r_1.png,s_30_r_4.png,s_5_r_10.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,34.2366,37.6883,right,2.9125,,0,15,15,15,1,15,60,30,25,s_60_r_7.png,s_30_r_4.png,s_25_r_9.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,37.6894,39.1397,left,0.9098,,0,16,16,16,1,16,10,15,60,s_10_r_4.png,s_15_r_9.png,s_60_r_7.png,,
