trial,s1,s2,s3,i1,i2,i3,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruct.started,ready.started,instrText.started,instruct.stopped,trial.started,resp.started,image1.started,image2.started,image3.started,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,thanks.started,thanksText.started,thanks.stopped,session,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.008209228515625,0.012241125106811523,0.012241125106811523,19.607905387878418,,,,,,,,,,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
0,10,15,25,imgs/s_10_r_2.png,imgs/s_15_r_2.png,imgs/s_25_r_2.png,0,0,0,left,3.620436668395996,None,0,0,0,0,19.630045890808105,,,,,,19.62696599960327,20.122936487197876,20.122936487197876,20.122936487197876,20.122936487197876,23.761853218078613,left,3.620436668395996,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
1,60,25,10,imgs/s_60_r_2.png,imgs/s_25_r_2.png,imgs/s_10_r_2.png,1,1,0,right,2.067213535308838,None,0,1,1,1,23.77703022956848,,,,,,23.77382254600525,24.276289701461792,24.276289701461792,24.276289701461792,24.276289701461792,26.34652042388916,right,2.067213535308838,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
2,50,20,15,imgs/s_50_r_2.png,imgs/s_20_r_2.png,imgs/s_15_r_2.png,2,2,0,right,1.4500577449798584,None,0,2,2,2,26.36136531829834,,,,,,26.357147693634033,26.861698150634766,26.861698150634766,26.861698150634766,26.861698150634766,28.314639568328857,right,1.4500577449798584,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
3,30,40,50,imgs/s_30_r_2.png,imgs/s_40_r_2.png,imgs/s_50_r_2.png,3,3,0,left,1.8334167003631592,None,0,3,3,3,28.32962965965271,,,,,,28.325563430786133,28.830118894577026,28.830118894577026,28.830118894577026,28.830118894577026,30.66688847541809,left,1.8334167003631592,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
4,50,30,25,imgs/s_50_r_2.png,imgs/s_30_r_2.png,imgs/s_25_r_2.png,4,4,0,right,1.3283848762512207,None,0,4,4,4,30.681880950927734,,,,,,30.678550720214844,31.182018756866455,31.182018756866455,31.182018756866455,31.182018756866455,32.51773452758789,right,1.3283848762512207,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
5,40,25,10,imgs/s_40_r_2.png,imgs/s_25_r_2.png,imgs/s_10_r_2.png,5,5,0,right,2.277339458465576,None,0,5,5,5,32.53314208984375,,,,,,32.52867531776428,33.033838748931885,33.033838748931885,33.033838748931885,33.033838748931885,35.320871114730835,right,2.277339458465576,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
6,5,10,50,imgs/s_5_r_2.png,imgs/s_10_r_2.png,imgs/s_50_r_2.png,6,6,0,left,1.3553423881530762,None,0,6,6,6,35.33558011054993,,,,,,35.331528425216675,35.83567929267883,35.83567929267883,35.83567929267883,35.83567929267883,37.20616960525513,left,1.3553423881530762,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
7,15,10,5,imgs/s_15_r_2.png,imgs/s_10_r_2.png,imgs/s_5_r_2.png,7,7,0,right,2.2379913330078125,None,0,7,7,7,37.22040152549744,,,,,,37.21676468849182,37.72109317779541,37.72109317779541,37.72109317779541,37.72109317779541,39.9754056930542,right,2.2379913330078125,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
8,60,30,25,imgs/s_60_r_2.png,imgs/s_30_r_2.png,imgs/s_25_r_2.png,8,8,0,right,1.6294410228729248,None,0,8,8,8,39.990275621414185,,,,,,39.98739695549011,40.48978304862976,40.48978304862976,40.48978304862976,40.48978304862976,42.126726150512695,right,1.6294410228729248,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
9,20,30,60,imgs/s_20_r_2.png,imgs/s_30_r_2.png,imgs/s_60_r_2.png,9,9,0,left,1.9017808437347412,None,0,9,9,9,42.14169526100159,,,,,,42.1385931968689,42.64140701293945,42.64140701293945,42.64140701293945,42.64140701293945,44.562268018722534,left,1.9017808437347412,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
10,10,15,60,imgs/s_10_r_2.png,imgs/s_15_r_2.png,imgs/s_60_r_2.png,10,10,0,left,1.0103206634521484,None,0,10,10,10,44.57691669464111,,,,,,44.57357454299927,45.07697916030884,45.07697916030884,45.07697916030884,45.07697916030884,46.097188234329224,left,1.0103206634521484,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
11,60,50,30,imgs/s_60_r_2.png,imgs/s_50_r_2.png,imgs/s_30_r_2.png,11,11,0,left,1.6914341449737549,None,0,11,11,11,46.11204195022583,,,,,,46.10904026031494,46.611658334732056,46.611658334732056,46.611658334732056,46.611658334732056,48.31491422653198,left,1.6914341449737549,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
12,50,25,10,imgs/s_50_r_2.png,imgs/s_25_r_2.png,imgs/s_10_r_2.png,12,12,0,right,1.792781114578247,None,0,12,12,12,48.33792448043823,,,,,,48.33363461494446,48.830413579940796,48.830413579940796,48.830413579940796,48.830413579940796,50.634263038635254,right,1.792781114578247,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
13,50,25,5,imgs/s_50_r_2.png,imgs/s_25_r_2.png,imgs/s_5_r_2.png,13,13,0,right,3.250286102294922,None,0,13,13,13,50.64872670173645,,,,,,50.64567255973816,51.14914846420288,51.14914846420288,51.14914846420288,51.14914846420288,54.40427303314209,right,3.250286102294922,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
14,15,25,60,imgs/s_15_r_2.png,imgs/s_25_r_2.png,imgs/s_60_r_2.png,14,14,0,left,1.5845861434936523,None,0,14,14,14,54.419013261795044,,,,,,54.41556715965271,54.918787479400635,54.918787479400635,54.918787479400635,54.918787479400635,56.52228808403015,left,1.5845861434936523,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
15,25,40,50,imgs/s_25_r_2.png,imgs/s_40_r_2.png,imgs/s_50_r_2.png,15,15,0,left,2.042093515396118,None,0,15,15,15,56.536614179611206,,,,,,56.53324365615845,57.03717088699341,57.03717088699341,57.03717088699341,57.03717088699341,59.09151291847229,left,2.042093515396118,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
16,5,10,30,imgs/s_5_r_2.png,imgs/s_10_r_2.png,imgs/s_30_r_2.png,16,16,0,left,1.2251801490783691,None,0,16,16,16,59.10754585266113,,,,,,59.104079723358154,59.60602402687073,59.60602402687073,59.60602402687073,59.60602402687073,60.84246778488159,left,1.2251801490783691,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
17,60,40,25,imgs/s_60_r_2.png,imgs/s_40_r_2.png,imgs/s_25_r_2.png,17,17,0,right,2.201632022857666,None,0,17,17,17,60.856971740722656,,,,,,60.852834939956665,61.357391595840454,61.357391595840454,61.357391595840454,61.357391595840454,63.57603192329407,right,2.201632022857666,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
18,5,10,40,imgs/s_5_r_2.png,imgs/s_10_r_2.png,imgs/s_40_r_2.png,18,18,0,left,1.3465452194213867,None,0,18,18,18,63.59224557876587,,,,,,63.58069109916687,64.07626461982727,64.07626461982727,64.07626461982727,64.07626461982727,65.42782497406006,left,1.3465452194213867,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
19,20,25,30,imgs/s_20_r_2.png,imgs/s_25_r_2.png,imgs/s_30_r_2.png,19,19,0,right,8.639986038208008,None,0,19,19,19,65.44383311271667,,,,,,65.43355417251587,65.92776989936829,65.92776989936829,65.92776989936829,65.92776989936829,74.57058119773865,right,8.639986038208008,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
20,10,30,50,imgs/s_10_r_2.png,imgs/s_30_r_2.png,imgs/s_50_r_2.png,20,20,0,right,3.202223539352417,None,0,20,20,20,74.5852632522583,,,,,,74.58130025863647,75.08553171157837,75.08553171157837,75.08553171157837,75.08553171157837,78.29101014137268,right,3.202223539352417,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
21,5,15,50,imgs/s_5_r_2.png,imgs/s_15_r_2.png,imgs/s_50_r_2.png,21,21,0,left,1.1221463680267334,None,0,21,21,21,78.30558061599731,,,,,,78.30239534378052,78.8053834438324,78.8053834438324,78.8053834438324,78.8053834438324,79.94198489189148,left,1.1221463680267334,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
22,15,30,60,imgs/s_15_r_2.png,imgs/s_30_r_2.png,imgs/s_60_r_2.png,22,22,0,left,1.3428828716278076,None,0,22,22,22,79.95599269866943,,,,,,79.95297002792358,80.4569160938263,80.4569160938263,80.4569160938263,80.4569160938263,81.81065630912781,left,1.3428828716278076,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
23,25,20,15,imgs/s_25_r_2.png,imgs/s_20_r_2.png,imgs/s_15_r_2.png,23,23,0,left,1.9868557453155518,None,0,23,23,23,81.82443165779114,,,,,,81.82093787193298,82.325115442276,82.325115442276,82.325115442276,82.325115442276,84.32908630371094,left,1.9868557453155518,None,,,,2,AH,2025-08-08_16h50.16.204,mlds_experiment_numerosity_triads,2024.2.5,59.92213829667167,2025-08-08 16h50.24.123343 +0200,
