instruct.started,instruct.stopped,session,participant,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trial,s1,s2,s3,im1,im2,im3,thanks.started,thanks.stopped
0,42.636,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,,,,,,,,,,,,,,,,,,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,42.645,44.35,right,1.173,,0,0,0,0,1,0,60,40,30,s_60_r_5.png,s_40_r_8.png,s_30_r_8.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,44.352,47.583,left,2.692,,0,1,1,1,1,1,20,40,60,s_20_r_9.png,s_40_r_7.png,s_60_r_2.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,47.585,49.466,left,1.347,,0,2,2,2,1,2,10,40,50,s_10_r_1.png,s_40_r_3.png,s_50_r_9.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,49.468,52.616,right,2.611,,0,3,3,3,1,3,25,50,60,s_25_r_2.png,s_50_r_4.png,s_60_r_10.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,52.618,57.748,right,4.597,,0,4,4,4,1,4,20,25,30,s_20_r_1.png,s_25_r_8.png,s_30_r_4.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,57.751,61.633,right,3.341,,0,5,5,5,1,5,5,30,40,s_5_r_2.png,s_30_r_3.png,s_40_r_2.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,61.634,64.116,right,1.94,,0,6,6,6,1,6,15,25,30,s_15_r_1.png,s_25_r_5.png,s_30_r_2.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,64.118,66.434,left,1.775,,0,7,7,7,1,7,5,10,30,s_5_r_4.png,s_10_r_9.png,s_30_r_6.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,66.437,69.233,right,2.26,,0,8,8,8,1,8,25,20,10,s_25_r_6.png,s_20_r_5.png,s_10_r_7.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,69.235,71.883,left,2.109,,0,9,9,9,1,9,5,10,60,s_5_r_2.png,s_10_r_7.png,s_60_r_8.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,71.885,95.549,left,23.127,,0,10,10,10,1,10,15,25,40,s_15_r_10.png,s_25_r_5.png,s_40_r_6.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,95.552,97.85,right,1.755,,0,11,11,11,1,11,50,20,15,s_50_r_3.png,s_20_r_3.png,s_15_r_2.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,97.851,99.685,left,1.294,,0,12,12,12,1,12,60,50,15,s_60_r_3.png,s_50_r_7.png,s_15_r_2.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,99.688,101.933,right,1.714,,0,13,13,13,1,13,40,20,10,s_40_r_1.png,s_20_r_8.png,s_10_r_4.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,101.934,103.816,left,1.342,,0,14,14,14,1,14,60,30,5,s_60_r_1.png,s_30_r_4.png,s_5_r_10.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,103.818,107.115,right,2.763,,0,15,15,15,1,15,60,30,25,s_60_r_7.png,s_30_r_4.png,s_25_r_9.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,107.117,108.866,left,1.225,,0,16,16,16,1,16,10,15,60,s_10_r_4.png,s_15_r_9.png,s_60_r_7.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,108.867,110.799,right,1.393,,0,17,17,17,1,17,5,20,30,s_5_r_6.png,s_20_r_3.png,s_30_r_10.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,110.801,114.067,left,2.741,,0,18,18,18,1,18,5,10,40,s_5_r_1.png,s_10_r_7.png,s_40_r_2.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,114.069,118.233,left,3.627,,0,19,19,19,1,19,25,30,40,s_25_r_2.png,s_30_r_8.png,s_40_r_9.png,,
,,1,ch,2025-08-18_15h38.18.723,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,57.47126437,118.234,120.099,right,1.326,,0,20,20,20,1,20,10,50,60,s_10_r_2.png,s_50_r_1.png,s_60_r_8.png,,
