instruct.started,instruct.stopped,session,participant,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trial,s1,s2,s3,im1,im2,im3,thanks.started,thanks.stopped
0.0002,116.9096,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,116.9189,121.2261,left,3.7688,,0,0,0,0,1,0,60,40,30,s_60_r_5.png,s_40_r_8.png,s_30_r_8.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,121.2277,125.309,left,3.5391,,0,1,1,1,1,1,20,40,60,s_20_r_9.png,s_40_r_7.png,s_60_r_2.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,125.3101,127.8753,right,2.0232,,0,2,2,2,1,2,10,40,50,s_10_r_1.png,s_40_r_3.png,s_50_r_9.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,127.8763,130.4251,right,2.0064,,0,3,3,3,1,3,25,50,60,s_25_r_2.png,s_50_r_4.png,s_60_r_10.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,130.4262,137.0254,right,6.0571,,0,4,4,4,1,4,20,25,30,s_20_r_1.png,s_25_r_8.png,s_30_r_4.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,137.0267,138.7252,right,1.159,,0,5,5,5,1,5,5,30,40,s_5_r_2.png,s_30_r_3.png,s_40_r_2.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,138.7262,140.3919,right,1.1334,,0,6,6,6,1,6,15,25,30,s_15_r_1.png,s_25_r_5.png,s_30_r_2.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,140.3929,143.7923,left,2.858,,0,7,7,7,1,7,5,10,30,s_5_r_4.png,s_10_r_9.png,s_30_r_6.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,143.7933,147.1087,left,2.7848,,0,8,8,8,1,8,25,20,10,s_25_r_6.png,s_20_r_5.png,s_10_r_7.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,147.1095,149.5752,left,1.9343,,0,9,9,9,1,9,5,10,60,s_5_r_2.png,s_10_r_7.png,s_60_r_8.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,149.5762,152.5089,left,2.4007,,0,10,10,10,1,10,15,25,40,s_15_r_10.png,s_25_r_5.png,s_40_r_6.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,152.5099,155.142,left,2.0953,,0,11,11,11,1,11,50,20,15,s_50_r_3.png,s_20_r_3.png,s_15_r_2.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,155.143,156.9748,left,1.2952,,0,12,12,12,1,12,60,50,15,s_60_r_3.png,s_50_r_7.png,s_15_r_2.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,156.9758,158.9924,right,1.4725,,0,13,13,13,1,13,40,20,10,s_40_r_1.png,s_20_r_8.png,s_10_r_4.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,158.9935,161.5422,left,2.0177,,0,14,14,14,1,14,60,30,5,s_60_r_1.png,s_30_r_4.png,s_5_r_10.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,161.5432,163.692,right,1.6105,,0,15,15,15,1,15,60,30,25,s_60_r_7.png,s_30_r_4.png,s_25_r_9.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,163.693,165.8588,left,1.6267,,0,16,16,16,1,16,10,15,60,s_10_r_4.png,s_15_r_9.png,s_60_r_7.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,165.8599,167.9253,right,1.5346,,0,17,17,17,1,17,5,20,30,s_5_r_6.png,s_20_r_3.png,s_30_r_10.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,167.9263,170.142,left,1.6825,,0,18,18,18,1,18,5,10,40,s_5_r_1.png,s_10_r_7.png,s_40_r_2.png,,
,,1,DM,2025-08-18_15h38.20.570,mlds_experiment_numerosity_triads,2025.1.1,MacIntel,60.60606061,170.1429,172.2092,right,1.5345,,0,19,19,19,1,19,25,30,40,s_25_r_2.png,s_30_r_8.png,s_40_r_9.png,,
