instruct.started,instruct.stopped,session,participant,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trial,s1,s2,s3,im1,im2,im3,thanks.started,thanks.stopped
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,1.7544,3.5595,left,1.2703,,0,0,0,0,1,0,50,40,25,s_50_r_4.png,s_40_r_5.png,s_25_r_6.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,3.5621,6.778,left,2.675,,0,1,1,1,1,1,10,15,30,s_10_r_7.png,s_15_r_6.png,s_30_r_2.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,6.7798,8.913,left,1.5892,,0,2,2,2,1,2,60,40,5,s_60_r_2.png,s_40_r_1.png,s_5_r_10.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,8.9152,12.7159,right,3.2629,,0,3,3,3,1,3,15,50,60,s_15_r_1.png,s_50_r_6.png,s_60_r_6.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,12.7179,14.7182,right,1.4638,,0,4,4,4,1,4,50,20,15,s_50_r_10.png,s_20_r_5.png,s_15_r_6.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,14.7192,16.1362,left,0.873,,0,5,5,5,1,5,60,50,40,s_60_r_6.png,s_50_r_9.png,s_40_r_2.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,16.1378,18.0708,right,1.3905,,0,6,6,6,1,6,5,50,60,s_5_r_5.png,s_50_r_8.png,s_60_r_9.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,18.0726,21.2901,right,2.6754,,0,7,7,7,1,7,60,20,5,s_60_r_5.png,s_20_r_1.png,s_5_r_10.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,21.2915,22.9417,right,1.1111,,0,8,8,8,1,8,30,25,20,s_30_r_2.png,s_25_r_2.png,s_20_r_9.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,22.9431,24.1257,left,0.6429,,0,9,9,9,1,9,10,15,50,s_10_r_3.png,s_15_r_6.png,s_50_r_3.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,24.1267,25.4603,left,0.7994,,0,10,10,10,1,10,40,30,20,s_40_r_6.png,s_30_r_4.png,s_20_r_6.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,25.4614,26.6616,left,0.657,,0,11,11,11,1,11,40,25,10,s_40_r_1.png,s_25_r_8.png,s_10_r_8.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,26.6637,27.8456,right,0.6402,,0,12,12,12,1,12,15,40,60,s_15_r_1.png,s_40_r_2.png,s_60_r_10.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,27.8477,30.114,right,1.7277,,0,13,13,13,1,13,30,10,5,s_30_r_1.png,s_10_r_1.png,s_5_r_4.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,30.1149,32.1823,left,1.5433,,0,14,14,14,1,14,25,30,60,s_25_r_2.png,s_30_r_2.png,s_60_r_9.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,32.1833,33.4512,right,0.7305,,0,15,15,15,1,15,60,15,5,s_60_r_4.png,s_15_r_9.png,s_5_r_1.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,33.4529,34.6512,left,0.6683,,0,16,16,16,1,16,5,10,50,s_5_r_1.png,s_10_r_10.png,s_50_r_3.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,34.6522,36.7694,right,1.5736,,0,17,17,17,1,17,10,20,25,s_10_r_2.png,s_20_r_6.png,s_25_r_2.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,36.7708,39.4051,right,2.1122,,0,18,18,18,1,18,60,30,15,s_60_r_3.png,s_30_r_8.png,s_15_r_7.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,39.406,41.0071,left,1.0714,,0,19,19,19,1,19,5,10,20,s_5_r_1.png,s_10_r_6.png,s_20_r_10.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,41.0081,42.3916,left,0.8483,,0,20,20,20,1,20,20,25,60,s_20_r_7.png,s_25_r_5.png,s_60_r_2.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,42.3931,43.8093,right,0.8734,,0,21,21,21,1,21,60,25,10,s_60_r_1.png,s_25_r_3.png,s_10_r_5.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,43.8107,46.3945,left,2.0592,,0,22,22,22,1,22,30,25,15,s_30_r_5.png,s_25_r_8.png,s_15_r_2.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,46.3962,48.896,left,1.9564,,0,23,23,23,1,23,25,20,15,s_25_r_3.png,s_20_r_2.png,s_15_r_5.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,48.8966,50.0644,right,0.643,,0,24,24,24,1,24,40,10,5,s_40_r_5.png,s_10_r_9.png,s_5_r_9.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,50.0658,51.4985,left,0.8974,,0,25,25,25,1,25,5,10,15,s_5_r_10.png,s_10_r_10.png,s_15_r_8.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,51.4993,52.8505,left,0.8321,,0,26,26,26,1,26,5,20,50,s_5_r_5.png,s_20_r_10.png,s_50_r_2.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,52.8514,54.4351,right,1.052,,0,27,27,27,1,27,5,25,60,s_5_r_10.png,s_25_r_10.png,s_60_r_2.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,54.4367,55.669,right,0.6938,,0,28,28,28,1,28,5,20,30,s_5_r_4.png,s_20_r_2.png,s_30_r_6.png,,
,,2,GA1,2025-08-14_17h29.15.436,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,55.67,56.8536,right,0.6609,,0,29,29,29,1,29,5,15,25,s_5_r_10.png,s_15_r_10.png,s_25_r_6.png,,
