instruct.started,instruct.stopped,session,participant,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trial,s1,s2,s3,im1,im2,im3,thanks.started,thanks.stopped
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,1.3906,3.1949,left,1.2711,,0,0,0,0,1,0,15,20,100,s_15_r_7.png,s_20_r_10.png,s_100_r_10.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,3.197,7.081,right,3.3437,,0,1,1,1,1,1,20,100,200,s_20_r_3.png,s_100_r_5.png,s_200_r_9.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,7.0825,9.4496,left,1.8513,,0,2,2,2,1,2,150,100,25,s_150_r_3.png,s_100_r_5.png,s_25_r_1.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,9.4505,10.8012,left,0.8249,,0,3,3,3,1,3,15,25,200,s_15_r_1.png,s_25_r_4.png,s_200_r_8.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,10.8035,12.9697,left,1.6245,,0,4,4,4,1,4,200,150,25,s_200_r_4.png,s_150_r_5.png,s_25_r_10.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,12.9722,14.4042,left,0.8876,,0,5,5,5,1,5,200,150,10,s_200_r_2.png,s_150_r_4.png,s_10_r_6.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,14.406,16.6557,right,1.7081,,0,6,6,6,1,6,50,25,20,s_50_r_1.png,s_25_r_4.png,s_20_r_10.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,16.6576,19.9752,left,2.7764,,0,7,7,7,1,7,75,100,200,s_75_r_8.png,s_100_r_7.png,s_200_r_3.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,19.9762,21.5937,left,1.091,,0,8,8,8,1,8,20,15,10,s_20_r_2.png,s_15_r_2.png,s_10_r_5.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,21.5949,23.8783,left,1.7485,,0,9,9,9,1,9,15,25,50,s_15_r_5.png,s_25_r_6.png,s_50_r_1.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,23.8793,25.7631,left,1.3371,,0,10,10,10,1,10,100,50,25,s_100_r_2.png,s_50_r_8.png,s_25_r_4.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,25.7637,27.1146,right,0.8278,,0,11,11,11,1,11,150,25,15,s_150_r_9.png,s_25_r_8.png,s_15_r_3.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,27.1164,31.5017,left,3.8432,,0,12,12,12,1,12,20,75,200,s_20_r_2.png,s_75_r_10.png,s_200_r_10.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,31.503,34.3207,right,2.2748,,0,13,13,13,1,13,15,75,200,s_15_r_1.png,s_75_r_6.png,s_200_r_7.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,34.3218,36.3221,left,1.4733,,0,14,14,14,1,14,50,100,200,s_50_r_8.png,s_100_r_7.png,s_200_r_8.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,36.3234,44.1627,right,7.2962,,0,15,15,15,1,15,15,100,200,s_15_r_8.png,s_100_r_8.png,s_200_r_10.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,44.164,45.9643,right,1.2553,,0,16,16,16,1,16,150,50,20,s_150_r_8.png,s_50_r_1.png,s_20_r_8.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,45.9661,47.3319,left,0.825,,0,17,17,17,1,17,10,20,150,s_10_r_2.png,s_20_r_8.png,s_150_r_6.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,47.3332,48.8833,right,1.0094,,0,18,18,18,1,18,50,20,15,s_50_r_3.png,s_20_r_9.png,s_15_r_8.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,48.8844,50.6684,right,1.2413,,0,19,19,19,1,19,100,25,15,s_100_r_10.png,s_25_r_3.png,s_15_r_6.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,50.6701,53.5701,left,2.3574,,0,20,20,20,1,20,20,75,150,s_20_r_10.png,s_75_r_3.png,s_150_r_7.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,53.5719,55.072,left,0.9561,,0,21,21,21,1,21,10,25,75,s_10_r_2.png,s_25_r_4.png,s_75_r_9.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,55.0733,57.3564,left,1.7466,,0,22,22,22,1,22,10,50,200,s_10_r_1.png,s_50_r_1.png,s_200_r_1.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,57.3574,58.5746,right,0.6869,,0,23,23,23,1,23,100,25,20,s_100_r_1.png,s_25_r_4.png,s_20_r_2.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,58.5758,61.1111,right,1.9926,,0,24,24,24,1,24,200,100,25,s_200_r_5.png,s_100_r_1.png,s_25_r_6.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,61.1128,62.7282,left,1.0819,,0,25,25,25,1,25,10,25,200,s_10_r_5.png,s_25_r_10.png,s_200_r_5.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,62.7293,64.83,right,1.5739,,0,26,26,26,1,26,100,50,15,s_100_r_6.png,s_50_r_3.png,s_15_r_5.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,64.8317,68.0494,right,2.6788,,0,27,27,27,1,27,10,50,100,s_10_r_9.png,s_50_r_4.png,s_100_r_8.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,68.0506,69.8177,right,1.2226,,0,28,28,28,1,28,25,20,15,s_25_r_3.png,s_20_r_4.png,s_15_r_2.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,69.8191,71.4189,right,1.0559,,0,29,29,29,1,29,20,150,200,s_20_r_3.png,s_150_r_6.png,s_200_r_8.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,71.4201,72.7034,left,0.743,,0,30,30,30,1,30,10,15,150,s_10_r_1.png,s_15_r_1.png,s_150_r_10.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,72.7052,74.3383,left,1.091,,0,31,31,31,1,31,10,20,50,s_10_r_9.png,s_20_r_2.png,s_50_r_8.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,74.3401,76.4066,right,1.5302,,0,32,32,32,1,32,150,75,10,s_150_r_2.png,s_75_r_6.png,s_10_r_8.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,76.4085,78.0078,left,1.0587,,0,33,33,33,1,33,200,150,100,s_200_r_9.png,s_150_r_4.png,s_100_r_4.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,78.0096,79.3089,left,0.7582,,0,34,34,34,1,34,10,25,50,s_10_r_8.png,s_25_r_4.png,s_50_r_8.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,79.311,81.2937,left,1.446,,0,35,35,35,1,35,50,75,100,s_50_r_3.png,s_75_r_5.png,s_100_r_6.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,81.295,83.1457,left,1.3051,,0,36,36,36,1,36,25,15,10,s_25_r_5.png,s_15_r_7.png,s_10_r_1.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,83.1473,84.8803,left,1.1904,,0,37,37,37,1,37,200,150,15,s_200_r_9.png,s_150_r_5.png,s_15_r_4.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,84.8825,86.5814,right,1.1608,,0,38,38,38,1,38,20,50,75,s_20_r_8.png,s_50_r_9.png,s_75_r_4.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,86.5825,88.5837,right,1.4803,,0,39,39,39,1,39,25,50,75,s_25_r_3.png,s_50_r_10.png,s_75_r_3.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,88.5858,89.8178,right,0.6902,,0,40,40,40,1,40,20,100,150,s_20_r_3.png,s_100_r_2.png,s_150_r_9.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,89.819,91.1183,right,0.7587,,0,41,41,41,1,41,100,20,10,s_100_r_7.png,s_20_r_7.png,s_10_r_9.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,91.119,95.5056,left,3.8627,,0,42,42,42,1,42,10,20,75,s_10_r_5.png,s_20_r_3.png,s_75_r_10.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,95.5075,99.4429,right,3.3921,,0,43,43,43,1,43,200,75,25,s_200_r_4.png,s_75_r_9.png,s_25_r_5.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,99.4449,100.7604,left,0.7753,,0,44,44,44,1,44,10,15,50,s_10_r_9.png,s_15_r_8.png,s_50_r_5.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,100.7617,102.2945,left,0.9889,,0,45,45,45,1,45,50,75,200,s_50_r_2.png,s_75_r_6.png,s_200_r_8.png,,
,,3,GAD2,2025-08-14_18h39.40.717,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,102.2957,104.046,left,1.2301,,0,46,46,46,1,46,75,50,15,s_75_r_8.png,s_50_r_9.png,s_15_r_3.png,,
