trial,s1,s2,s3,i1,i2,i3,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruct.started,ready.started,instrText.started,instruct.stopped,trial.started,resp.started,image1.started,image2.started,image3.started,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,session,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.00823521614074707,0.011934757232666016,0.011934757232666016,0.5205080509185791,,,,,,,,,,1,pl,2025-08-08_18h25.06.912,mlds_experiment_numerosity_triads,2024.2.5,60.059683026994826,2025-08-08 18h25.11.772786 +0200,
0,30,20,5,imgs/s_30_r_1.png,imgs/s_20_r_1.png,imgs/s_5_r_1.png,0,0,0,right,18.800453186035156,None,0,0,0,0,0.5440940856933594,,,,,,0.5412702560424805,1.0349960327148438,1.0349960327148438,1.0349960327148438,1.0349960327148438,19.848587036132812,right,18.800453186035156,None,1,pl,2025-08-08_18h25.06.912,mlds_experiment_numerosity_triads,2024.2.5,60.059683026994826,2025-08-08 18h25.11.772786 +0200,
1,10,25,50,imgs/s_10_r_1.png,imgs/s_25_r_1.png,imgs/s_50_r_1.png,1,1,0,left,3.823612689971924,None,0,1,1,1,19.865097045898438,,,,,,19.85718035697937,20.34861707687378,20.34861707687378,20.34861707687378,20.34861707687378,24.187256574630737,left,3.823612689971924,None,1,pl,2025-08-08_18h25.06.912,mlds_experiment_numerosity_triads,2024.2.5,60.059683026994826,2025-08-08 18h25.11.772786 +0200,
2,15,20,40,imgs/s_15_r_1.png,imgs/s_20_r_1.png,imgs/s_40_r_1.png,2,2,0,left,2.934662342071533,None,0,2,2,2,24.20197033882141,,,,,,24.198195695877075,24.70239543914795,24.70239543914795,24.70239543914795,24.70239543914795,27.64033079147339,left,2.934662342071533,None,1,pl,2025-08-08_18h25.06.912,mlds_experiment_numerosity_triads,2024.2.5,60.059683026994826,2025-08-08 18h25.11.772786 +0200,
3,15,25,50,imgs/s_15_r_1.png,imgs/s_25_r_1.png,imgs/s_50_r_1.png,3,3,0,left,2.921039342880249,None,0,3,3,3,27.65484619140625,,,,,,27.651517629623413,28.15523338317871,28.15523338317871,28.15523338317871,28.15523338317871,31.09332847595215,left,2.921039342880249,None,1,pl,2025-08-08_18h25.06.912,mlds_experiment_numerosity_triads,2024.2.5,60.059683026994826,2025-08-08 18h25.11.772786 +0200,
4,30,50,60,imgs/s_30_r_1.png,imgs/s_50_r_1.png,imgs/s_60_r_1.png,4,4,0,right,1.9559876918792725,None,0,4,4,4,31.10782217979431,,,,,,31.10501217842102,31.60824227333069,31.60824227333069,31.60824227333069,31.60824227333069,33.57925271987915,right,1.9559876918792725,None,1,pl,2025-08-08_18h25.06.912,mlds_experiment_numerosity_triads,2024.2.5,60.059683026994826,2025-08-08 18h25.11.772786 +0200,
5,20,15,5,imgs/s_20_r_1.png,imgs/s_15_r_1.png,imgs/s_5_r_1.png,5,5,0,left,2.719249725341797,None,0,5,5,5,33.59328246116638,,,,,,33.59033226966858,34.0935537815094,34.0935537815094,34.0935537815094,34.0935537815094,36.83163642883301,left,2.719249725341797,None,1,pl,2025-08-08_18h25.06.912,mlds_experiment_numerosity_triads,2024.2.5,60.059683026994826,2025-08-08 18h25.11.772786 +0200,
6,30,40,50,imgs/s_30_r_1.png,imgs/s_40_r_1.png,imgs/s_50_r_1.png,6,6,0,right,6.810376405715942,None,0,6,6,6,36.8493127822876,,,,,,36.84599232673645,37.34619212150574,37.34619212150574,37.34619212150574,37.34619212150574,44.17151236534119,right,6.810376405715942,None,1,pl,2025-08-08_18h25.06.912,mlds_experiment_numerosity_triads,2024.2.5,60.059683026994826,2025-08-08 18h25.11.772786 +0200,
7,20,25,60,imgs/s_20_r_1.png,imgs/s_25_r_1.png,imgs/s_60_r_1.png,7,7,0,left,3.838773727416992,None,0,7,7,7,44.18616533279419,,,,,,44.18286108970642,44.68576407432556,44.68576407432556,44.68576407432556,44.68576407432556,48.54160022735596,left,3.838773727416992,None,1,pl,2025-08-08_18h25.06.912,mlds_experiment_numerosity_triads,2024.2.5,60.059683026994826,2025-08-08 18h25.11.772786 +0200,
8,50,15,5,imgs/s_50_r_1.png,imgs/s_15_r_1.png,imgs/s_5_r_1.png,8,8,0,,,,0,8,8,8,48.55621695518494,,,,,,48.55332970619202,49.0562379360199,49.0562379360199,49.0562379360199,49.0562379360199,,,,,,,,,,,,
